T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,force_rms_meVA,rmse_fc2_meVA,rmse_fc23_meVA,anharm_frac_cubic,anharm_frac_force,fc3_norm
100,326.86,310.45,0.536,0.242,-0.033,225.42,34.52,10.33,0.7007,0.1532,445.9003
200,318.91,311.86,0.077,0.294,-0.000,326.26,67.13,22.22,0.6691,0.2058,442.1464
300,307.23,308.87,0.257,0.206,-0.000,420.16,108.33,39.62,0.6342,0.2578,431.5369
500,302.56,310.69,1.968,0.174,-0.073,549.80,176.30,72.98,0.5860,0.3207,416.2740
