sscha_index,selection_group,corrected_X0_support_level,included_in_corrected_support_diagnostic,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,MLIP_energy_eV,DFT_energy_eV
94,typical,corrected_X0_core,True,55.21456664570408,32.74997721819745,435.6341694248682,66,y,0.027155723252418922,55.02471000730173,-89.60324539279237,-11162.248144604893
65,typical,corrected_X0_core,True,78.23396189031072,45.53973499154101,437.8123912534466,49,x,0.030831628835379328,138.09665039656213,-89.60115155752669,-11162.236826574002
87,typical,corrected_X0_core,True,93.23390878343235,53.609893236002726,675.8023195290618,51,y,0.04172208024178301,67.10066687001681,-88.72138255798444,-11161.321944065472
272,typical,corrected_X0_core,True,71.62472431931262,43.28524706211359,426.18817879306147,12,x,0.03960957908740011,42.40954750759111,-88.905634812598,-11161.551402971463
168,high_committee_disagreement,outside_corrected_X0_support,False,407.94099898013434,115.11512145358299,3367.3179708393786,4,x,0.048632356760277134,200.86373646461513,-89.82245239840228,-11162.280473225552
277,high_committee_disagreement,outside_corrected_X0_support,False,153.1424964634286,69.29481903496038,1126.2796383324253,65,x,0.09467728765087628,104.15335045301057,-88.22757549285114,-11160.902952836752
216,high_committee_disagreement,corrected_X0_core,True,78.00673920840742,48.60331026721253,313.8195268942141,28,x,0.026141119125219176,108.35578660187093,-88.32203611889831,-11160.947470796811
99,high_committee_disagreement,corrected_X0_core,True,191.02584074073908,83.48803393848712,1534.3964982666857,48,x,0.06192636196435798,82.80916515360818,-89.61845431600526,-11162.163776253445
152,low_Aprime_amplitude,outside_corrected_X0_support,False,88.68258993498586,48.334126529066054,642.0460950736508,71,y,0.0073855761049986274,18.41982813408865,-91.85080531011586,-11164.453607947115
20,low_Aprime_amplitude,corrected_X0_core,True,90.44868867495859,52.51149223304722,583.8269131680685,22,x,0.010381021872103813,78.85791191901245,-90.16769034058633,-11162.781070169973
6,high_Aprime_amplitude,corrected_X0_edge,True,78.95128060284526,43.290221974796125,593.4473649116923,49,x,0.08570972223145304,105.0445997899478,-89.22565149384165,-11161.871035913706
203,high_Aprime_amplitude,corrected_X0_core,True,40.59862747844096,29.665567563958888,189.45328903047454,48,x,0.07364482559034018,26.659384320769966,-90.34466830376431,-11162.985558685616
