degauss_Ry,T_el_K,omega2_eVA2amu,freq_cm
0.003,473.661,-0.000728395472170908,-14.073873385716931
0.006,947.322,0.011560457976318937,56.068319639576785
0.01,1578.8700000000001,0.029554324065958516,89.64798581882376
0.015,2368.305,0.04471271327464231,110.26699345106823
0.02,3157.7400000000002,0.053448255565255696,120.55820928609961
0.03,4736.61,0.06105673910440474,128.85367927043876
