# name=NbSe2 polytype=2H model=distilled a_relaxed=3.3578 bare_minfreq_cm=-45.81 cdw_exp_K=145 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-1258.88,144
100,-1984.82,129
150,-622.10,103
200,-1429.32,143
300,-1297.32,141
