# name=2H-TaSe2 polytype=2H model=medium a_relaxed=3.4569 bare_minfreq_cm=-59.63 cdw_exp_K=null label=L-crossover@100K
T_K,sscha_minfreq_cm,n_imag
50,-0.00,0
100,0.00,0
150,-0.00,0
200,-0.00,0
300,-0.00,0
