# name=1T-VSe2 polytype=1T model=distilled a_relaxed=3.2785 bare_minfreq_cm=-126.72 cdw_exp_K=110 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
100,-1.60,3
200,-186.71,7
300,-39.91,7
