# name=NbSe2 polytype=2H model=found a_relaxed=3.4923 bare_minfreq_cm=-56.54 cdw_exp_K=145 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
100,-1.22,3
200,-2.65,3
300,-2.02,3
