# name=1T-VSe2 polytype=1T model=medium a_relaxed=3.2684 bare_minfreq_cm=-78.64 cdw_exp_K=null label=L-crossover@300K
T_K,sscha_minfreq_cm,n_imag
50,-0.00,0
100,-0.00,0
150,-0.00,0
200,-0.00,0
300,0.00,0
