# name=1T-TiSe2 polytype=1T model=found a_relaxed=3.5533 bare_minfreq_cm=-79.14 cdw_exp_K=200 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-552.11,137
100,-1169.41,135
150,-623.04,87
200,-951.09,125
300,-178.81,27
