# name=2H-TaSe2 polytype=2H model=found a_relaxed=3.4569 bare_minfreq_cm=-59.63 cdw_exp_K=122 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-558.41,134
100,-415.03,106
150,-379.62,78
200,-1456.33,144
300,-1123.73,143
