# name=2H-TaS2 polytype=2H model=medium a_relaxed=3.3431 bare_minfreq_cm=-74.62 cdw_exp_K=null label=L-marginal
T_K,sscha_minfreq_cm,n_imag
50,-0.00,0
100,-0.00,0
150,-0.00,0
200,-0.00,0
300,-0.00,0
