# name=NbSe2 polytype=2H model=medium a_relaxed=3.4923 bare_minfreq_cm=-56.54 cdw_exp_K=null label=L-marginal
T_K,sscha_minfreq_cm,n_imag
50,-0.00,0
100,-0.00,0
150,-0.00,0
200,-0.00,0
300,-0.00,0
