# name=1T-TaS2 polytype=1T model=found a_relaxed=3.3769 bare_minfreq_cm=-140.62 cdw_exp_K=350 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-13863.35,144
100,-352.21,42
150,-2357.13,143
200,-998.44,116
300,-2081.02,144
