# name=1T-TaS2 polytype=1T model=distilled a_relaxed=3.3732 bare_minfreq_cm=-114.24 cdw_exp_K=350 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-1653.77,138
100,-3495.76,144
150,-2183.63,144
200,-411.86,87
300,-532.52,73
