# name=2H-TaS2 polytype=2H model=found a_relaxed=3.3431 bare_minfreq_cm=-74.62 cdw_exp_K=75 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-140570.73,144
100,-28839.85,144
150,-650.88,133
200,-37.71,3
300,-264.05,4
