# name=2H-TaS2 polytype=2H model=distilled a_relaxed=3.3583 bare_minfreq_cm=-78.67 cdw_exp_K=75 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
100,-1.67,3
200,-1.63,3
300,-2.50,3
