# name=1T-VSe2 polytype=1T model=found a_relaxed=3.2684 bare_minfreq_cm=-78.64 cdw_exp_K=110 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
50,-444.34,117
100,-1487.60,137
150,-1954.21,144
200,-11.06,3
300,-1090.71,144
