# name=1T-TiSe2 polytype=1T model=distilled a_relaxed=3.4752 bare_minfreq_cm=-83.48 cdw_exp_K=200 label=L-unstable
T_K,sscha_minfreq_cm,n_imag
100,-2.31,3
200,-2.22,3
300,-2.24,3
