# name=NbS2 polytype=2H model=found a_relaxed=3.3434 bare_minfreq_cm=-98.57 cdw_exp_K=null label=L-unstable
T_K,sscha_minfreq_cm,n_imag
100,-3.05,3
200,-2.22,3
300,-2.15,3
