# name=1T-TiSe2 polytype=1T model=medium a_relaxed=3.5533 bare_minfreq_cm=-79.14 cdw_exp_K=null label=L-marginal
T_K,sscha_minfreq_cm,n_imag
50,-0.00,0
100,-0.00,0
150,-0.00,0
200,-0.00,0
300,-0.00,0
