stage,lane,kgrid,qe_tag,integration,label,direction,delta_equal_distance,role,q_reduced_h,q_reduced_k,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
development,B,192,qe75_npk120k,tetrahedra_opt_no_degauss,KM_d015,KM,0.015,development,0.3383333333333333,0.3233333333333333,0.3383333333333333,0.5686900151517813,537.52426,550.804747,1003.998447,1222.235477,1234.257905,1294.043122
development,B,192,qe75_npk120k,tetrahedra_opt_no_degauss,KG_d023,KG,0.023,development,0.32566666666666666,0.32566666666666666,0.32566666666666666,0.5640712129982643,533.354739,555.026991,1002.752891,1218.080602,1239.453844,1298.931402
