campaign,degauss_Ry,kgrid,region,t_GK,sha256,bytes,hermitian_max_abs,eigenvector_orthogonality_max_abs,csv_frequency_max_abs_cm-1,matrix_frequency_max_abs_cm-1
DEV_A,0.02,32,G,0.0,e18424bd88110bbc2b32c5b8d198b575c6db8098841c3c98f0afcdd34c552302,2927,0.0,7.814779999781862e-07,0.0,1.0124032414182693e-05
DEV_A,0.02,32,G,0.015,9ce27c247e567e65516213d097ab5bcd2b26295f3ccc4002b6965d58eee493ae,8572,0.0,5.198620001145571e-07,0.0,3.126521242791114e-05
DEV_A,0.02,32,G,0.03,c4494854a9f2f4f6dbfb4ea30d9a62f2f9d432c7d4ddfcfc4e0f6a49e9d783d3,8572,0.0,9.339280001019468e-07,0.0,1.963302800334077e-05
DEV_A,0.02,32,G,0.05,74edbc58e84557a0e0c7f2003cdaaa1d7a657e7c538631b41022b5650f05718f,8572,0.0,1.101308000017731e-06,0.0,4.312041460252658e-05
DEV_A,0.02,32,G,0.08,03c55ef9df0964d0b565153a85784dcc788012305bf0611bbffa66e4d6fd4299,8572,0.0,1.332887000105032e-06,0.0,9.320980254301503e-06
DEV_A,0.02,32,K,0.92,3c9343fef717240792ffee7d3ecc185a7a769397b92d9fa6020f5cc78a2fef44,8572,0.0,1.2992759998997627e-06,0.0,7.138114483495883e-06
DEV_A,0.02,32,K,0.95,0e716aa6749dcbed8d284353fe03f090867dac64e848e47c7a04e8fa59c9c3af,8572,0.0,1.0269836969484611e-06,0.0,3.5724328881769907e-06
DEV_A,0.02,32,K,0.97,e67dbfbacdbd2cf08e7d0e9c7e26eb95630ebf9d6d97396acb65626949351ce2,8572,0.0,9.245149998893254e-07,0.0,5.625535209219379e-06
DEV_A,0.02,32,K,0.985,182173aedc7247d8c65a3deae3085589fa4d0452b5a6d875322b71a9eeea678c,8572,0.0,1.197828000010226e-06,0.0,5.918823376305227e-06
DEV_A,0.02,32,K,1.0,56b71b9e33069f2d81f99ea43994953ed539e44414f1ac6941209e51ea2e6fa3,4056,0.0,6.188980001819999e-07,0.0,1.554410346216173e-06
DEV_A,0.02,32,K,1.015,87024b5532690206cc08d49e17d6a43ecb0a7a188f62f68f9a49d4e6c68c68e4,8572,0.0,9.487222639893551e-07,0.0,8.670639772390132e-06
DEV_A,0.02,32,K,1.03,392487daddbc9f8c537b43dd4eb5552b5f88f812da9714c4ac37a47ada2a2b54,8572,0.0,1.0949547869274392e-06,0.0,7.261031669258955e-06
DEV_A,0.02,32,K,1.05,fa4ec318155ae2790cc2efd828ad957a330664189c2316f80a058f8db6ebed36,8572,0.0,7.185989999713982e-07,0.0,6.433023145291372e-06
DEV_A,0.02,32,K,1.08,eb8be5c1ba7873af852f0b0daf7dd6cc6e9e1fc793a0c92f771ba6504fb8772d,8572,0.0,8.257057554675747e-07,0.0,5.975381554890191e-06
DEV_B,0.06,32,G,0.0,b55b636f75ae2b948890f42e61bce7be970eb79a7b75710bd8ab8ecd73b24812,2927,0.0,1.3707420000175219e-06,0.0,6.149485534479027e-05
DEV_B,0.06,32,G,0.015,0bebb4f2108e22b1c4af5281fb1bda0131472a5c5b3645de2fad57c2e86dea94,8572,0.0,9.603491391560684e-07,0.0,3.649792240878469e-05
DEV_B,0.06,32,G,0.03,bd091fd9a05059662e398d208dbb8942fab4e0b67b1be33b129bc10a113a1657,8572,0.0,9.339280001019468e-07,0.0,2.7484214498940673e-05
DEV_B,0.06,32,G,0.05,ff0a4f6c1f201e31b2793efa213ea73c5f0c144864f337bf9b21f169d3ac6b6f,8572,0.0,1.065555063346954e-06,0.0,2.932668034816288e-05
DEV_B,0.06,32,G,0.08,d382922d3b8993ad12c0e2bc30420a4561dd6eec9b11f190a0d091530924926e,8572,0.0,1.135033496879925e-06,0.0,1.6948000890693038e-05
DEV_B,0.06,32,K,0.92,7e3e0b92ac1678234fd70628d4fb1025f4944c871ad937f98699987584e5a773,8572,0.0,1.3643470000435087e-06,0.0,4.350272774900077e-06
DEV_B,0.06,32,K,0.95,c9460c9abbdf25f7669aa70435475983aa50cefc5452f6551bdca56c620950d4,8572,0.0,1.5697966019116137e-06,0.0,2.534766622375173e-06
DEV_B,0.06,32,K,0.97,07fbbbe095f6a493471819ceb834d14ea05f91ea9c72cc7aa6e0fc1a402bc9a9,8572,0.0,1.1506979999964528e-06,0.0,6.354954450671357e-06
DEV_B,0.06,32,K,0.985,5bf5cd1e8994bf7c5c90c2133b05dbd9cf76bed30dc609cf268197df53e90f62,8572,0.0,9.558419999944334e-07,0.0,5.947187446508906e-06
DEV_B,0.06,32,K,1.0,225aa5006edaf15f849808b03fca7402d87816d6a1ed026ae28e49a43eb03b32,4056,0.0,6.188980001819999e-07,0.0,5.598615416602115e-06
DEV_B,0.06,32,K,1.015,585afce5e54f042f261b6cc6622f6de817305351e2e4427b4844b85e85d6156b,8572,0.0,7.576046667643574e-07,0.0,2.8175671786812018e-06
DEV_B,0.06,32,K,1.03,3594c7c74d3b56fca34cd37ba38d266b990fb0959ce223d5f566a59e628e1aca,8572,0.0,1.0594099999483575e-06,0.0,5.532426598620077e-06
DEV_B,0.06,32,K,1.05,fb717366a51bfb4499d11845684625613d7de23faf033c7b7a40fb7beea0a70a,8572,0.0,8.238983081412672e-07,0.0,4.626474947144743e-06
DEV_B,0.06,32,K,1.08,2035658ad428ed1edef2db5f959deaa06d32268a4604cf04b2e8be53c63f0d7b,8572,0.0,1.1034835293922554e-06,0.0,6.667699437912233e-06
