series,kgrid,signed_distance,frequency_cm-1,K_reference_cm-1,rise_from_K_cm-1,status
MLIP_plus_full_EPC_LR,,-0.03,1298.53383875336,1282.182972,16.350866753359924,model_curve
MLIP_plus_full_EPC_LR,,-0.029500000000000002,1298.322235499237,1282.182972,16.139263499236904,model_curve
MLIP_plus_full_EPC_LR,,-0.029,1298.1024708906455,1282.182972,15.9194988906454,model_curve
MLIP_plus_full_EPC_LR,,-0.0285,1297.8809056409686,1282.182972,15.697933640968586,model_curve
MLIP_plus_full_EPC_LR,,-0.028,1297.6508788727308,1282.182972,15.467906872730737,model_curve
MLIP_plus_full_EPC_LR,,-0.0275,1297.432498413708,1282.182972,15.249526413707827,model_curve
MLIP_plus_full_EPC_LR,,-0.027,1297.2058303905437,1282.182972,15.02285839054366,model_curve
MLIP_plus_full_EPC_LR,,-0.0265,1296.9773781699653,1282.182972,14.794406169965214,model_curve
MLIP_plus_full_EPC_LR,,-0.026000000000000002,1296.7403880457816,1282.182972,14.557416045781565,model_curve
MLIP_plus_full_EPC_LR,,-0.025500000000000002,1296.5150239462248,1282.182972,14.332051946224738,model_curve
MLIP_plus_full_EPC_LR,,-0.025,1296.2813773613912,1282.182972,14.098405361391087,model_curve
MLIP_plus_full_EPC_LR,,-0.0245,1296.04586616693,1282.182972,13.862894166929891,model_curve
MLIP_plus_full_EPC_LR,,-0.024,1295.80177323386,1282.182972,13.61880123386004,model_curve
MLIP_plus_full_EPC_LR,,-0.0235,1295.569311423897,1282.182972,13.38633942389697,model_curve
MLIP_plus_full_EPC_LR,,-0.023,1295.328491372762,1282.182972,13.14551937276201,model_curve
MLIP_plus_full_EPC_LR,,-0.0225,1295.0857914811183,1282.182972,12.902819481118286,model_curve
MLIP_plus_full_EPC_LR,,-0.022,1294.8344727125855,1282.182972,12.651500712585403,model_curve
MLIP_plus_full_EPC_LR,,-0.021500000000000002,1294.5947220374044,1282.182972,12.411750037404317,model_curve
MLIP_plus_full_EPC_LR,,-0.021,1294.3464134320357,1282.182972,12.163441432035597,model_curve
MLIP_plus_full_EPC_LR,,-0.0205,1294.0964946789193,1282.182972,11.913522678919207,model_curve
MLIP_plus_full_EPC_LR,,-0.02,1293.83787216688,1282.182972,11.654900166879997,model_curve
MLIP_plus_full_EPC_LR,,-0.0195,1293.5906908276588,1282.182972,11.407718827658755,model_curve
MLIP_plus_full_EPC_LR,,-0.019,1293.3351423080512,1282.182972,11.152170308051154,model_curve
MLIP_plus_full_EPC_LR,,-0.0185,1293.0776192014287,1282.182972,10.894647201428597,model_curve
MLIP_plus_full_EPC_LR,,-0.018000000000000002,1292.811499418902,1282.182972,10.628527418901967,model_curve
MLIP_plus_full_EPC_LR,,-0.0175,1292.5567267794052,1282.182972,10.37375477940509,model_curve
MLIP_plus_full_EPC_LR,,-0.017,1292.293601060197,1282.182972,10.11062906019697,model_curve
MLIP_plus_full_EPC_LR,,-0.0165,1292.0284782171364,1282.182972,9.84550621713629,model_curve
MLIP_plus_full_EPC_LR,,-0.016,1291.7548188574233,1282.182972,9.571846857423225,model_curve
MLIP_plus_full_EPC_LR,,-0.0155,1291.4922339131767,1282.182972,9.30926191317667,model_curve
MLIP_plus_full_EPC_LR,,-0.015,1291.221394018597,1282.182972,9.038422018596975,model_curve
MLIP_plus_full_EPC_LR,,-0.0145,1290.9485167829855,1282.182972,8.765544782985444,model_curve
MLIP_plus_full_EPC_LR,,-0.014,1290.6672169758572,1282.182972,8.48424497585711,model_curve
MLIP_plus_full_EPC_LR,,-0.0135,1290.3966714560104,1282.182972,8.213699456010318,model_curve
MLIP_plus_full_EPC_LR,,-0.013000000000000001,1290.1179968339704,1282.182972,7.935024833970374,model_curve
MLIP_plus_full_EPC_LR,,-0.0125,1289.837254659819,1282.182972,7.654282659819046,model_curve
MLIP_plus_full_EPC_LR,,-0.012,1289.5482272989573,1282.182972,7.365255298957209,model_curve
MLIP_plus_full_EPC_LR,,-0.0115,1289.269497385409,1282.182972,7.086525385409004,model_curve
MLIP_plus_full_EPC_LR,,-0.011,1288.9828411375242,1282.182972,6.799869137524183,model_curve
MLIP_plus_full_EPC_LR,,-0.0105,1288.6941788139518,1282.182972,6.5112068139517305,model_curve
MLIP_plus_full_EPC_LR,,-0.01,1288.397326456214,1282.182972,6.214354456213869,model_curve
MLIP_plus_full_EPC_LR,,-0.0095,1288.1102148466748,1282.182972,5.927242846674744,model_curve
MLIP_plus_full_EPC_LR,,-0.009000000000000001,1287.8154601857104,1282.182972,5.632488185710372,model_curve
MLIP_plus_full_EPC_LR,,-0.0085,1287.518696669805,1282.182972,5.335724669804904,model_curve
MLIP_plus_full_EPC_LR,,-0.008,1287.214024802223,1282.182972,5.03105280222303,model_curve
MLIP_plus_full_EPC_LR,,-0.0075,1286.9182510869177,1282.182972,4.7352790869176715,model_curve
MLIP_plus_full_EPC_LR,,-0.007,1286.61532132804,1282.182972,4.432349328039891,model_curve
MLIP_plus_full_EPC_LR,,-0.006500000000000001,1286.3103473909318,1282.182972,4.127375390931775,model_curve
MLIP_plus_full_EPC_LR,,-0.006,1285.9979704237603,1282.182972,3.814998423760244,model_curve
MLIP_plus_full_EPC_LR,,-0.0055,1285.6931683094556,1282.182972,3.510196309455523,model_curve
MLIP_plus_full_EPC_LR,,-0.005,1285.381895208428,1282.182972,3.198923208427914,model_curve
MLIP_plus_full_EPC_LR,,-0.0045000000000000005,1285.0686673230405,1282.182972,2.8856953230404088,model_curve
MLIP_plus_full_EPC_LR,,-0.004,1284.7486028337873,1282.182972,2.5656308337872815,model_curve
MLIP_plus_full_EPC_LR,,-0.0035,1284.4343798502632,1282.182972,2.251407850263149,model_curve
MLIP_plus_full_EPC_LR,,-0.003,1284.114608027748,1282.182972,1.9316360277480271,model_curve
