t_GK,old_band1_rel_eV,old_band2_rel_eV,matched_band1_rel_eV,matched_band2_rel_eV
0.0,-7.668256971775288,3.54308943587691,-3.0771286626428513,3.2387146626428542
0.002,-7.666899064334063,3.5417614555706334,-3.0648942139309754,3.226416946150039
0.004,-7.665570584252053,3.540523739509201,-3.0520720289662866,3.213405108296522
0.006,-7.664273316263594,3.5393786570178776,-3.0386793985942044,3.1996968908152525
0.008,-7.663008752041645,3.538328671865401,-3.0247350130128248,3.1853117338034753
0.01,-7.661778089502495,3.5373763383809,-3.0102589284065364,3.1702707399909507
0.012,-7.660582233272415,3.5365242974707,-2.9952725313754223,3.154596635867187
0.014,-7.659421796290943,3.535775272522656,-2.9797985012149284,3.1383137297315384
0.016,-7.658297102518596,3.535132065182566,-2.963860770100361,3.1214478667326846
0.018000000000000002,-7.6572081907106275,3.534597550984335,-2.9474844812302234,3.1040263809662063
0.02,-7.656154819212044,3.534174674813001,-2.930695944981736,3.0860780447005656
0.022,-7.655136471723599,3.533866446177554,-2.913522593130088,3.067633014802917
0.024,-7.654152363982992,3.5336759342685697,-2.895992931181247,3.0487227764365628
0.026000000000000002,-7.65320145130108,3.533606262774298,-2.878136488865358,3.0293800841017613
0.028,-7.652282436888405,3.5336606044277383,-2.859983768834882,3.00963890009075
0.03,-7.651393780903484,3.5338421752568063,-2.8415661936077297,2.989534330426596
0.032,-7.65053371015166,3.5341542285094034,-2.8229160507917554,2.9691025583534656
0.034,-7.649700228360328,3.5346000482257516,-2.8040664366224486,2.9483807754436455
0.036000000000000004,-7.648891126954699,3.535182942431103,-2.785051197840755,2.9274071103837898
0.038,-7.648103996256757,3.535906235923364,-2.7659048719332575,2.9062205554999467
0.04,-7.64733623702971,3.5367732626319244,-2.7466626257516986,2.884860891077749
0.042,-7.6465850722898425,3.53778735752641,-2.7273601925244004,2.863368607531151
0.044,-7.645847559308524,3.5389518480567723,-2.7080338072676047,2.8417848254704254
0.046,-7.645120601728171,3.540270045109446,-2.6887201406011436,2.8201512137179705
0.048,-7.6444009617179765,3.541745233467905,-2.6694562309704044,2.7985099053193108
0.05,-7.643685272097184,3.5433806617700974,-2.6502794152750657,2.7769034115965976
0.052000000000000005,-7.642970048357104,3.5451795319596133,-2.631227257905661,2.755374534293599
0.054,-7.642251700516092,3.5471449882322976,-2.61233747819156,2.733966275864624
0.056,-7.641526544745919,3.549280105485049,-2.5936478762689306,2.7127217479659
0.058,-7.640790814712063,3.5515878772789273,-2.5751962573853846,2.6916840782165905
0.06,-7.640040672575599,3.554071203334206,-2.5570203546692967,2.6708963153086898
0.062,-7.639272219608956,3.5567328765808046,-2.539157750406853,2.6504013325605724
0.064,-7.638481506383941,3.5595755697932683,-2.521645795889128,2.630241730028457
0.066,-7.637664542495377,3.562601821845413,-2.5045215299147823,2.610459735313776
0.068,-7.636817305790189,3.565814023625681,-2.487821596062226,2.5910971032324253
0.07,-7.635935751077576,3.5692144036600366,-2.4715821588772564,2.5721950145443566
0.07200000000000001,-7.635015818301993,3.572805013495032,-2.455838819159466,2.553793973978681
0.074,-7.634053440166931,3.5765877128992423,-2.4406265285715434,2.5359337078302144
0.076,-7.633044549203864,3.5805641549466345,-2.4259795038405323,2.5186530614476665
0.078,-7.6319850842862005,3.5847357710505765,-2.4119311408677633,2.5019898969807954
0.08,-7.630870996594816,3.589103756021908,-2.3985139291140016,2.485980991802829
0.082,-7.629698255046809,3.593669053228958,-2.385759366676903,2.470661938074242
0.084,-7.628462851205284,3.5984323399413465,-2.3736978765281465,2.4560670439630146
0.08600000000000001,-7.62716080369253,3.6033940129429136,-2.362358724425462,2.442229237083395
0.088,-7.6257881621344845,3.6085541745021112,-2.3517699390590328,2.4291799707580317
0.09,-7.624341010668595,3.6139126187906685,-2.3419582350302197,2.4169491337453977
0.092,-7.622815471051173,3.6194688188431483,-2.332948939291293,2.4055649641036623
0.094,-7.621207705404433,3.625221914151255,-2.3247659216962693,2.3950539678819696
0.096,-7.619513918645963,3.6311706989873667,-2.31743153032308,2.385440843338294
0.098,-7.617730360646628,3.637313611551651,-2.3109665322247097,2.3767484113787156
0.1,-7.61585332816447,3.6436487240363817,-2.305390060250376,2.368997552894384
0.10200000000000001,-7.61387916660414,3.6501737336996047,-2.3007195665467113,2.362207153639134
0.10400000000000001,-7.611804271652109,3.656885955038149,-2.296970783302606,2.3563940572424062
0.106,-7.609625090838407,3.6637823131471308,-2.294157691240444,2.3515730268887984
0.108,-7.607338125075445,3.670859338349594,-2.2922924962816196,2.3477567161183983
0.11,-7.604939930223861,3.6781131621756398,-2.291385614726688,2.344955649112178
0.112,-7.602427118733645,3.685539514765659,-2.2914456671926096,2.343178210726179
0.114,-7.5997963614075905,3.6931337237666466,-2.292479481443317,2.342430646429546
0.116,-7.597044389331145,3.700890714784588,-2.294492104138284,2.342717072187259
0.11800000000000001,-7.5941679960100705,3.7088050134492487,-2.297486821410181,2.34403949421206
0.12,-7.591164039754287,3.7168707491404103,-2.3014651880697854,2.3463978383945645
0.122,-7.5880294463419675,3.7250816604171035,-2.306427065127918,2.349789989109268
0.124,-7.584761211994397,3.73343110218316,-2.312370665222876,2.354211836990105
0.126,-7.581356406686976,3.7419120546140254,-2.319292605450618,2.3596573351751937
0.128,-7.57781217781758,3.750517133860969,-2.327187967016139,2.3661185634387296
0.13,-7.574125754247853,3.759238604539771,-2.336050361059813,2.37358579956045
0.132,-7.570294450728238,3.7680683940017463,-2.345871999963246,2.3820475972310478
0.134,-7.566315672711661,3.77699810837555,-2.356643773405992,2.3914908697558417
0.136,-7.5621869215556865,3.786019050358738,-2.3683553284272567,2.401900978798976
0.138,-7.557905800106986,3.7951222387286307,-2.380995152745062,2.413261827405845
0.14,-7.5534700186566655,3.804298429532503,-2.3945506605977953,2.4255559565512876
0.14200000000000002,-7.548877401249446,3.8135381389078526,-2.409008280398561,2.438764644483621
0.14400000000000002,-7.544125892323874,3.822831667474335,-2.4243535435290435,2.452868008168201
0.146,-7.53921356365612,3.832169126229959,-2.440571173644494,2.467845106176669
0.148,-7.534138621574152,3.8415404638755524,-2.457645175913615,2.483674042417043
