sscha_index,selected,selection_group,shard,RMS_displacement_A,max_displacement_A,inplane_RMS_displacement_A,outplane_RMS_displacement_A,Aprime_coordinate_abs_A,MLIP_force_RMS_eV_A,committee_force_disagreement_RMS_eV_A,MLIP_energy_centered_eV,Aprime_force_abs_eV_A
0,False,,,0.09017775102743766,0.34989851988880755,0.048227550032499296,0.1405143664428131,0.04763496966718102,0.18819523969627755,0.0031546570811078873,-0.04395304419286461,0.1149165247060937
1,False,,,0.09017775102743757,0.34989851988880466,0.04822755003249921,0.14051436644281295,0.04763496966718145,0.19446558221143675,0.0034205959587471544,-0.1239502734390987,0.2773387382644967
2,False,,,0.07452580923825511,0.3144142186510172,0.0435300512088076,0.11345729598120849,0.07641736731514616,0.16849371555038686,0.0031251053036020536,2.4215848803109434,0.46385086095337846
3,False,,,0.07452580923825505,0.3144142186510196,0.043530051208807596,0.11345729598120838,0.07641736731514737,0.18975881022957528,0.0027041074573684615,-2.4635387116530083,0.16058544910716088
4,False,,,0.07393231221461576,0.269381986079802,0.043130422652593224,0.11259437664384317,0.011046428074445709,0.1871085602796089,0.004289656815860299,-0.7756734491974617,0.15982038621154634
5,False,,,0.07393231221461585,0.2693819860798034,0.04313042265259353,0.11259437664384314,0.011046428074446684,0.20144311209522342,0.004358300597821954,-2.3792273821026697,0.29300758729666143
6,True,high_Aprime_amplitude,B,0.12815982767338152,0.5163521333543071,0.045635929078238005,0.21239008508436683,0.08570972583414657,0.1957617727278384,0.004053258019087832,2.5557341163203304,0.31207123382311774
7,False,,,0.12815982767338147,0.5163521333543091,0.04563592907823796,0.21239008508436683,0.08570972583414642,0.1749332746160379,0.0030851862297501666,-1.632145063346079,0.42509025141515405
8,False,,,0.06716084298480549,0.2655543537181018,0.04174442777855221,0.10023243980953256,0.006509868663283661,0.16686023577814174,0.005206221114691674,0.6270374348221583,0.0918377095110831
9,False,,,0.06716084298480555,0.265554353718105,0.04174442777855233,0.10023243980953259,0.006509868663283682,0.21032677320618978,0.005668151310717682,0.12053853738429954,0.29777525432936386
10,False,,,0.098486008536915,0.4163861854415856,0.04486886528775073,0.15834156588899592,0.03330022011435366,0.17126555900551851,0.003946373914901954,1.026778343159636,0.2784069205962767
11,False,,,0.0984860085369149,0.416386185441583,0.04486886528775043,0.15834156588899592,0.03330022011435365,0.21618181640244583,0.003718315311903257,0.4322982245706628,0.22186154300651512
12,False,,,0.08370035897401665,0.3589388439896409,0.04414750914561405,0.13084053328236472,0.021532151101948383,0.17622379426100707,0.002891221597037217,0.7893763891270655,0.176903622941293
13,False,,,0.08370035897401666,0.35893884398964165,0.044147509145614224,0.13084053328236467,0.021532151101947863,0.1773388573573425,0.0026409498229186933,-0.10806270557612585,0.19744811481381933
14,False,,,0.06410234481466083,0.24476037482696603,0.04477223124493539,0.09120431158072018,0.03736421695261772,0.19511480595858766,0.0057085155093134264,-0.00015999137707556343,0.20294939318191701
15,False,,,0.06410234481466072,0.2447603748269644,0.04477223124493529,0.09120431158072002,0.037364216952617206,0.16526992161072446,0.005272906947526446,0.6284028820924252,0.19618332706104608
16,False,,,0.104944031856327,0.4328438587626133,0.044419848415838147,0.17056817874449284,0.03333163270675379,0.18823252073427454,0.0030496098786048334,-0.2760611792824026,0.14965253654786376
17,False,,,0.10494403185632685,0.43284385876261144,0.044419848415837876,0.1705681787444927,0.033331632706752705,0.1839540555439051,0.0037366985608078525,0.0001599913770764516,0.222016668809475
18,False,,,0.07974237366143512,0.32444082917675926,0.03891827908539535,0.12667783380505987,0.021227322546975225,0.15904975544227845,0.003007769110509027,0.5465636949152337,0.18402833940338761
19,False,,,0.0797423736614351,0.32444082917675693,0.03891827908539536,0.1266778338050599,0.021227322546975142,0.18997087035878935,0.0029518038039191017,0.07838611075182023,0.2141950310148236
20,True,low_Aprime_amplitude,A,0.06889117703920992,0.29453401285757824,0.039451517451259285,0.10547577145074247,0.010381020642262706,0.21988530591188896,0.0048248702981794666,-4.991497137737038,0.2899750541006814
21,False,,,0.0688911770392099,0.29453401285758074,0.03945151745125924,0.10547577145074247,0.010381020642263122,0.1622426236807644,0.0035779792993432705,1.113576426000515,0.1462195653182209
22,False,,,0.10489067501865129,0.43399683639390796,0.041742233130211595,0.171817732100651,0.039413198633699416,0.20902558305106556,0.003388368145487819,-1.6321128712512598,0.4334792039181385
23,False,,,0.10489067501865133,0.43399683639391057,0.04174223313021176,0.17181773210065104,0.039413198633699784,0.16453604314004522,0.0033324278822693862,0.9022490373991783,0.13152353828992255
24,False,,,0.07222118675602895,0.279304592726898,0.042058859942737004,0.11004455484021962,0.02376152067549796,0.20297230982855616,0.005369455363541365,-1.4903560236641056,0.323093439093817
25,False,,,0.07222118675602902,0.2793045927268988,0.04205885994273721,0.11004455484021959,0.023761520675498055,0.17687201006851078,0.005068930184316866,3.2657918556629255,0.061373230482800314
26,False,,,0.09356308023336013,0.38116680219783916,0.04238472224938621,0.15056301201804953,0.021847554881998882,0.2440012709354993,0.002744214125685779,-6.472176192251366,0.3377309650735259
