T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,fit_rmse_meVA
300,1528.21,1402.51,2.196,0.012,-0.000,49.29
600,1525.29,1399.25,2.196,0.148,-0.000,96.58
