T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,fit_rmse_meVA
20,290.78,216.80,1.496,2.296,-0.000,55.47
100,292.39,244.56,1.717,0.955,0.000,87.78
200,293.24,248.85,1.860,0.941,-0.000,111.86
300,293.35,250.94,1.933,1.007,-0.000,129.69
400,292.85,252.40,1.964,1.129,-0.000,146.86
