T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,force_rms_meVA,rmse_fc2_meVA,rmse_fc23_meVA,anharm_frac_cubic,anharm_frac_force,fc3_norm
50,357.53,271.20,2.298,3.377,-0.000,187.02,17.90,6.15,0.6563,0.0957,617.1416
80,353.13,268.15,2.141,3.708,-0.000,242.61,31.21,9.80,0.6861,0.1286,605.1592
110,354.74,269.43,2.380,3.221,-0.000,292.05,42.89,12.51,0.7083,0.1468,598.0662
150,348.76,268.11,2.011,3.383,-0.000,329.12,57.17,16.42,0.7128,0.1737,593.0457
200,349.97,264.03,2.121,4.128,-0.000,382.18,76.61,22.76,0.7030,0.2005,591.4576
300,347.23,267.76,2.297,2.760,-0.000,486.51,118.06,37.24,0.6846,0.2427,573.9119
