T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,fit_rmse_meVA
100,1397.39,1181.23,5.682,95.292,-0.106,63.78
300,1381.29,1169.94,5.987,95.358,-0.016,173.63
600,1364.34,1157.66,5.765,92.446,-0.000,325.27
