T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,force_rms_meVA,rmse_fc2_meVA,rmse_fc23_meVA,anharm_frac_cubic,anharm_frac_force,fc3_norm
10,1395.89,1186.99,5.768,95.902,-0.135,182.49,6.85,1.01,0.8529,0.0376,7498.0277
50,1399.76,1188.12,5.221,95.569,-0.083,403.00,35.68,6.38,0.8212,0.0885,7030.5695
100,1400.11,1184.44,5.550,98.132,-0.129,580.52,61.61,13.81,0.7758,0.1061,6536.0873
200,1397.60,1184.84,5.348,99.044,-0.122,804.07,114.59,29.44,0.7431,0.1425,5904.4751
300,1376.72,1179.55,6.872,91.645,-0.000,1025.59,189.85,54.12,0.7149,0.1851,5235.6884
400,1385.29,1167.74,4.837,102.668,-0.000,1168.39,232.79,70.45,0.6974,0.1992,5107.4201
500,1375.04,1173.57,5.052,94.884,-0.000,1294.83,276.17,86.77,0.6858,0.2133,4845.9690
600,1380.57,1171.69,5.679,91.529,-0.110,1464.53,304.84,95.26,0.6875,0.2082,4871.3400
