T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,fit_rmse_meVA
100,1578.39,1320.11,4.408,6.469,-0.000,15.24
300,1577.02,1321.23,4.316,6.148,-0.000,37.32
600,1574.93,1320.69,4.218,5.933,-0.000,69.57
