campaign,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
FD300_LINE,0.0019000869,144,G,0.0,0.0,0.0,113.363402,113.363402,113.935279,884.40589,1573.582322,1573.582322
FD300_LINE,0.0019000869,144,G,0.005,0.001666666667,0.002886751346,112.867582,113.036356,113.927255,884.401004,1573.828388,1574.241013
FD300_LINE,0.0019000869,144,G,0.01,0.003333333333,0.005773502692,113.945734,113.987402,114.306949,884.382511,1573.871823,1575.594044
FD300_LINE,0.0019000869,144,G,0.015,0.005,0.008660254038,113.936365,114.853508,116.356355,884.351524,1573.799766,1577.094522
FD300_LINE,0.0019000869,144,G,0.025,0.008333333333,0.01443375673,113.934168,117.577715,122.757184,884.251848,1573.494647,1580.093891
FD300_LINE,0.0019000869,144,G,0.04,0.013333333333,0.023094010768,113.938172,124.008605,137.044021,884.009243,1572.881569,1584.156591
FD300_LINE,0.0019000869,144,G,0.06,0.02,0.034641016151,113.947692,135.659405,162.340494,883.510988,1571.539868,1589.149499
FD300_LINE,0.0019000869,144,G,0.08,0.026666666667,0.046188021535,113.999145,151.162513,192.029716,882.810916,1569.667016,1593.847788
FD300_LINE,0.0019000869,144,K,0.94,0.313333333333,0.542709253038,514.604466,574.196821,990.889078,1201.586141,1264.363576,1317.598415
FD300_LINE,0.0019000869,144,K,0.96,0.32,0.554256258422,524.933679,563.588413,998.392429,1210.634659,1250.116467,1307.95517
FD300_LINE,0.0019000869,144,K,0.975,0.325,0.56291651246,532.35955,555.993677,1002.43488,1217.20118,1240.649642,1299.850928
FD300_LINE,0.0019000869,144,K,0.985,0.328333333333,0.568690015152,537.158254,551.120898,1004.050013,1221.473854,1234.985508,1293.949021
FD300_LINE,0.0019000869,144,K,0.992,0.330666666667,0.572731467036,540.441286,547.803329,1004.755978,1224.427457,1231.423068,1290.184203
FD300_LINE,0.0019000869,144,K,1.0,0.333333333333,0.57735026919,544.254689,544.25469,1005.021785,1228.083291,1228.083292,1288.039763
FD300_LINE,0.0019000869,144,K,1.008,0.336,0.581969071343,540.535236,547.710394,1004.750408,1224.587866,1231.253286,1290.23178
FD300_LINE,0.0019000869,144,K,1.015,0.338333333333,0.586010523227,537.494252,550.786327,1003.994829,1222.208927,1234.265197,1294.155032
FD300_LINE,0.0019000869,144,K,1.025,0.341666666667,0.591784025919,533.303892,555.074034,1002.099839,1219.487748,1238.477374,1300.448787
FD300_LINE,0.0019000869,144,K,1.04,0.346666666667,0.600444279957,527.368335,561.2623,997.44036,1216.927832,1244.688931,1309.335919
FD300_LINE,0.0019000869,144,K,1.06,0.353333333333,0.611991285341,520.113441,569.067188,987.966028,1216.230197,1252.717243,1320.330123
