stage	lane	label	direction	delta_equal_distance	role
diagnostic	A	K	K	0.000	k288_cross_host_anchor
diagnostic	A	KG_d003	KG	0.003	k288_d003_convergence
diagnostic	B	K	K	0.000	k288_cross_host_anchor
diagnostic	B	KM_d003	KM	0.003	k288_d003_convergence
