model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
mattersim,mp-1138,0.9022486786936176,0.9949582094080953,17.460706956347597,18.196073353939575,-0.735366397591978,-4.041346631704835,0,0,1.2692806288697825e-07,1.4170008710739808,4.383931555567408,-1.8273567320046773,2,
mattersim,mp-1986,0.43338539555754274,0.5464962190662503,15.978665244280778,16.711216608918416,-0.7325513646376383,-4.383590864633346,0,0,1.1191687215324628e-07,0.7626184893936951,1.0155965255313646,-0.6171671771948954,2,
mattersim,mp-2490,0.6418697358180737,0.7766610955739041,10.922980042832975,11.64283688190317,-0.7198568390701947,-6.1828302360663585,0,0,1.3022544479414274e-07,0.8794282970175757,1.6151005034834114,-0.8005438228202206,2,
mattersim,mp-36066,9.17500574336464,11.802017923904918,14.643264396928108,42.476370161866484,-27.833105764938374,-65.5260928814623,228,84,2.523416613395937e-07,86.87391677496606,75.79189150468225,52.447159151665495,36,
mattersim,mp-554151,9.275004935126583,12.093863849355719,12.806910103907045,36.68430640867542,-23.877396304768375,-65.08885854012398,3626,594,3.696151057442902e-07,181.31170412216383,173.51986733687002,92.52275832270526,144,
mattersim,mp-556296,0.40191835589331665,0.49095252456098365,13.728294664777508,13.485352859875038,0.24294180490247008,1.801523530209808,1,4,1.1969310601658572e-07,1.4484502149104515,33.03365163277954,-10.302771850565819,96,
mattersim,mp-560998,9.437638041167881,12.319854447294814,12.695626494556356,37.59467326127449,-24.89904676671813,-66.230251806354,49046,7165,3.5042833605071334e-07,799.4921494910376,802.8513474143793,403.1352496211961,648,
mattersim,mp-632229,14.099594732619973,23.063786756744648,3.320324198421293,61.84510966518818,-58.524785466766886,-94.63122595077188,1212,10,1.8842577792217253e-07,79.02159973445556,169.58758128329873,2.8877209741643473,32,
mattersim,mp-753575,0.20421404087525805,0.2368019792810536,5.828280369792604,5.905107925661888,-0.07682755586928369,-1.3010355921762817,273,222,1.1185103305014481e-07,0.10641400793969069,14.939264955958492,-4.599080726974961,24,
