model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
mattersim,mp-1143,0.34434011465918535,0.38718624076975194,24.62762039078997,26.296330983067286,-1.6687105922773142,-6.345792473299142,0,0,4.851138157342793e-07,2.8843408285982264,4.295486598650783,-2.6462603579980737,5,
mattersim,mp-20351,0.4737651243461002,0.5728581685832668,9.890567847040307,10.219649663211356,-0.32908181617104937,-3.2200890149461427,0,0,7.41268800581573e-08,0.6165452396526874,1.8144838111088575,-0.7555944745286198,2,
mattersim,mp-2589,0.6426831424924289,0.790037308753458,25.8779785888952,27.155538813177955,-1.2775602242827553,-4.704602744478724,0,0,2.5455739577245805e-07,6.029399154410271,10.509828183770509,-6.172548798589837,3,
mattersim,mp-390,5.059892301492736,6.475225595257765,10.97183582718293,25.526408567936034,-14.554572740753104,-57.01770659204774,0,0,1.321084956346866e-07,116.18258144544752,112.84695402534184,23.208473106971347,48,
mattersim,mp-554243,0.2152726410383142,0.32119228206438755,37.88207027124581,38.33758779528896,-0.4555175240431524,-1.188174713744321,2101,1841,1.6345346585320895e-06,-1.3720665539312051,-5.323370098922197,-0.9213287954438272,9,
mattersim,mp-556328,0.3685345151426297,0.4878915268024535,11.116705069478861,11.204547124506792,-0.08784205502793085,-0.7839857698112679,0,295,1.2571911427068265e-07,6.254062038700454,81.0081519163059,-25.940284465342344,192,
mattersim,mp-561203,5.9728724590646065,11.498810913441906,1.3837314999693517,29.34843617490824,-27.96470467493889,-95.28516105007193,1712,45,2.886948124221474e-07,84.55476151645895,270.76802086707806,-44.48435897837568,48,
mattersim,mp-644271,10.59767510939635,22.91263987532605,9.10640252960421,76.9973008185448,-67.89089828894059,-88.17308862415221,5,327,3.500518908931488e-07,116.35873878234672,133.69190107945803,36.14791967066528,44,
mattersim,mp-753671,1.3766288264728725,1.874130132267354,41.18086628200384,41.92375980689549,-0.7428935248916488,-1.7720107364260302,20,12,8.884959518482088e-07,1.6173238407225625,3.2301372399991237,-1.999389075325773,9,
