model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
distilled,mp-17909,11.20040073172035,14.15485214936352,9.141689101150044,36.908908473786575,-27.767219372636532,-75.23175439435536,277,1,3.716967579525478e-07,1086.3433613049112,1108.6025903794553,552.7127229207083,168,
distilled,mp-23202,0.5429027468182746,0.585723227441074,2.3119553108192266,3.1993766749448795,-0.887421364125653,-27.737320556071815,124,4,2.559506212430997e-08,-0.017361706279871214,38.00777128652396,-11.630904409212654,4,
distilled,mp-29510,0.5876001669924941,0.7863452858982581,22.562263874086774,21.534368117597015,1.0278957564897588,4.773280325090217,4479,3213,1.5764072486956575e-07,-4.762321460398596,14.120836134255057,-5.663764091355866,20,
distilled,mp-546546,0.10451848582949973,0.12707173376162068,36.94030047067702,37.01734245592163,-0.07704198524460537,-0.20812403088185774,27,23,3.952912930378871e-07,0.27793162672728045,0.9191014757980156,-0.3403461025625205,9,
distilled,mp-555740,0.32235386362904045,0.5419927649795291,36.37431068180462,37.66156959385794,-1.2872589120533178,-3.4179640570881866,0,0,4.733325859797921e-07,-0.24910932749389758,-1.7876208990480222,1.360464956664913,6,
distilled,mp-559759,0.8099701357872948,1.0343661771882011,40.15883995468897,41.091932902660446,-0.933092947971474,-2.2707448446920395,4,268,3.5713467901883817e-07,16.66046912797566,28.01981091960863,-17.765339702024335,42,
distilled,mp-6109,0.4624334276973928,0.5958936524243885,30.75944941681413,30.094175763074087,0.6652736537400443,2.2106392246048587,61,10,3.267369375747257e-07,7.153341455824602,16.52078391338557,-7.292945935801669,48,
distilled,mp-7140,1.0324857089379686,1.1953894139995054,25.038569828169244,27.60795436954349,-2.5693845413742444,-9.30668207786063,0,0,4.0685671148124993e-07,3.344172286339216,5.765511561989271,-3.4229212214671207,4,
distilled,mp-804,0.12231906236361899,0.19485130456714472,21.17476989909489,21.420246497857836,-0.24547659876294503,-1.1460026792291782,0,0,1.9252407704746942e-07,0.1776724867876709,0.06228741175530672,-0.10946775217800209,4,
