model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
distilled,mp-1960,0.15104312428482874,0.19110191411371039,22.918131546963583,22.77050627339264,0.14762527357094157,0.6483179240658423,0,0,2.6046163653270283e-07,0.182183973814233,0.28276749059094897,-0.1634712665070701,2,
distilled,mp-23922,0.7410780057208445,0.8978704203630685,93.21012900683623,92.73813800019616,0.4719910066400672,0.5089502731217969,1578,199,4.20108412711289e-07,-5.560968005577877,-1.9681012623502738,2.484970940520384,192,
distilled,mp-31243,0.7761560030469764,0.8791816139880376,6.220075234571958,7.169230374845545,-0.9491551402735867,-13.239289165596599,8276,0,6.19753012597049e-08,-13.502714034066798,75.78218699941101,-29.694840673145507,54,
distilled,mp-553993,0.12383110598517165,0.16383851431573385,36.72051609163619,36.23158565859851,0.48893043303768025,1.3494591090899353,0,0,3.846969292015715e-07,-1.0626959283338238,-9.806630529675203,3.5163323271727904,20,
distilled,mp-555742,0.2702081556585116,0.33791613071486404,42.17329858884343,43.234804759853716,-1.0615061710102864,-2.4552121303805743,7,7,5.078443435128159e-07,10.081074987068291,16.239462043288768,-13.269415913807165,102,
distilled,mp-560381,0.48083978587574244,0.626994904895158,16.511293138564053,17.224549755039636,-0.7132566164755829,-4.140930396551556,583,708,1.4809514823963852e-07,10.08733130239193,33.750250867079444,-13.703222023420661,42,
distilled,mp-622930,0.3049662459760734,0.3638147455556081,20.99017956265041,21.498537590320012,-0.5083580276696011,-2.364616781647956,219,0,9.767532863410852e-08,8.084655118838441,50.793343589757114,-18.881276947281847,69,
distilled,mp-7441,0.23423890293022936,0.4134170539309037,10.94489135004327,11.16107487445537,-0.21618352441210043,-1.936941798561759,17,14,1.1589424567430683e-07,1.8175517705233233,16.423140391149673,-5.5371372880082035,24,
distilled,mp-984,5.386285838585397,6.694550853679761,32.947284074581404,45.36045819015255,-12.413174115571145,-27.365627709347,0,3,7.597593138300266e-07,10.530253232365446,7.382630779674052,-13.886380499432313,2,
