model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
mattersim,mp-16964,0.3407192423181931,0.44884953251953397,36.731132273211536,37.32996029777306,-0.5988280245615272,-1.6041485707051517,7,927,2.9511609966619887e-07,6.165492093921898,-2.4936829946494754,-1.5309496430678564,58,
mattersim,mp-23193,0.2887858005179053,0.3232829175511698,4.617350947822601,5.030152533426276,-0.41280158560367486,-8.206542105046188,0,0,6.137793866507016e-08,0.21614163621194393,4.708597021289606,-1.4789992193086103,2,
mattersim,mp-29312,0.31326894409027717,0.326383247821315,5.271940308379931,5.757174937180272,-0.48523462880034085,-8.428346091529352,5446,1,3.6273502656536486e-08,-5.130812027066668,140.69948188808848,-44.60717710126579,144,
mattersim,mp-543028,0.3124867454428186,0.3831055048331491,20.662105444964563,21.123065061058586,-0.4609596160940228,-2.1822572375816076,21538,274,1.295102844535561e-07,-21.91906367854881,29.114735034860814,-16.91102301022937,288,
mattersim,mp-555700,9.410714383724445,12.404864640970182,12.413950594519122,37.827227023323545,-25.413276428804423,-67.18249903207307,26339,1247,6.656305987494647e-07,714.5733678250928,718.4201866387823,359.40171107657903,576,
mattersim,mp-558891,0.2462774897433701,0.3402453251894155,35.78566863618146,36.42154438699897,-0.6358757508175046,-1.7458780551998965,56,104,4.0873053910881454e-07,3.6865180237158484,-4.168817956087651,-2.1347187449481453,5,
mattersim,mp-600038,0.23560419960909754,0.33583186978575985,38.09169431772731,38.164867200305615,-0.07317288257830512,-0.19172838253114416,154,1242,6.329180933148997e-07,5.571208645258082,-2.2169320082525132,-0.8957203207106659,28,
mattersim,mp-685097,0.38650078072280275,0.4433419979962752,24.370504966872687,24.670078967509664,-0.2995740006369765,-1.2143212068008113,5,2,1.4256353156033394e-07,3.6113989837858753,9.921191487516012,-4.517283985348222,18,
mattersim,mp-778064,0.4146263998598231,0.5527435122851095,25.284785047275598,25.81940511322779,-0.5346200659521934,-2.0706134150174393,578,973,2.239872876451155e-07,9.974572048161917,12.380305403156171,-8.186866409997108,98,
