model,mp_id,freq_mae,freq_rmse,omega_max_pred,omega_max_ref,omega_max_error,softening_pct,n_imaginary_pred,n_imaginary_ref,asr_residual_pred,cv_error_300k,s_error_300k,f_error_300k,n_displacements,error
orb,mp-15078,9.436505756860287,12.422300936640221,12.48485655702503,37.99022492807352,-25.505368371048494,-67.1366605997662,58836,8606,4.2039281891912363e-07,795.0617107458924,791.5505523416792,408.07353967184565,648,
orb,mp-23052,0.9397367024033414,1.3450059894885378,22.83286190246661,22.644241521420295,0.1886203810463165,0.8329728371245788,294,434,1.2087263539428836e-07,2.4169481610652923,7.1782624959920724,-2.4127220259473403,36,
orb,mp-28027,0.563880929695198,0.6562922747936218,20.47327885955816,20.29698001811248,0.17629884144567853,0.8685964182275105,11484,1814,2.0136433106560811e-07,-7.118970405556865,31.16485259559454,-10.492528844123894,96,
orb,mp-532768,7.185085978824704,9.595964594736184,10.743359080928837,32.26343499974087,-21.520075918812037,-66.70113061112332,61436,748,4.5737961568212137e-07,1169.2827088105307,1073.4459088760325,430.57540322000244,864,
orb,mp-555211,9.3540105059093,12.23023669744068,12.647435064258632,36.99240157599032,-24.34496651173169,-65.81072186330458,31849,942,3.7379633286927736e-07,701.7370131971949,672.4314891011422,372.45073315438344,576,
orb,mp-558134,2.260654492347498,2.7599186662179824,2.39771696330241,7.8141223032755285,-5.416405339973119,-69.31559463437969,3648,197,6.365376578413631e-08,94.02455975588178,209.85647837936529,-33.55026467525862,48,
orb,mp-568348,0.27028826988733506,0.3143062637985768,13.915487054650894,14.161723399839136,-0.2462363451882421,-1.7387456189904056,18959,8295,2.1992899164858965e-07,3.4000878780605035,86.07805258897906,-30.037290230121485,504,
orb,mp-676038,0.4555626355935665,0.5859164448015584,11.709961875180321,12.186681140675661,-0.4767192654953405,-3.9118055194222463,26,7,1.1480611072431053e-07,2.1269168376322796,5.670264246432055,-2.471986700930189,66,
orb,mp-776024,0.47479024014097,0.843971288270264,22.64921167558957,23.907927882728266,-1.258716207138697,-5.264848602994271,15233,6690,2.0857609442076115e-07,14.354994559322677,24.553915898331866,-8.861244066774034,240,
