 written on  6Aug2026 at 17:05:06 
           2
         157
    3    2    1    1    2    2    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    2    3    1    1    1    1    1    1    1
    1    1    1    1    3    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    3    1    1    1    1    1    1    1    1    1    1    1    3
    2    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    2    2    1    1    2    3
   -8   -4    0    1    1   -0.015748   -0.039694
   -8   -4    0    2    1    0.039522   -0.026237
   -8   -4    0    1    2    0.144010   -0.018350
   -8   -4    0    2    2    0.009140    0.039694
   -7   -5    0    1    1    0.087776    0.062671
   -7   -5    0    2    1   -0.061042    0.011431
   -7   -5    0    1    2    0.036318    0.018170
   -7   -5    0    2    2   -0.062598   -0.062671
   -7   -4    0    1    1    0.134145    0.080922
   -7   -4    0    2    1    0.171518   -0.002390
   -7   -4    0    1    2    0.094482   -0.051309
   -7   -4    0    2    2   -0.131658   -0.080922
   -7   -3    0    1    1    0.002115   -0.029236
   -7   -3    0    2    1    0.032102   -0.003499
   -7   -3    0    1    2   -0.016055   -0.126904
   -7   -3    0    2    2    0.000372    0.029236
   -7   -2    0    1    1   -0.071494   -0.002792
   -7   -2    0    2    1   -0.175341   -0.014681
   -7   -2    0    1    2   -0.136907   -0.062105
   -7   -2    0    2    2    0.096671    0.002792
   -6   -6    0    1    1   -0.057389   -0.000000
   -6   -6    0    2    1   -0.023674    0.002173
   -6   -6    0    1    2   -0.023674   -0.002173
   -6   -6    0    2    2    0.068345    0.000000
   -6   -5    0    1    1    0.068038   -0.045212
   -6   -5    0    2    1   -0.124612    0.079141
   -6   -5    0    1    2    0.088776    0.060767
   -6   -5    0    2    2   -0.054896    0.045212
   -6   -4    0    1    1    0.132051    0.045176
   -6   -4    0    2    1    0.017949    0.081785
   -6   -4    0    1    2    0.010037   -0.027933
   -6   -4    0    2    2   -0.133931   -0.045176
   -6   -3    0    1    1    0.005078    0.048127
   -6   -3    0    2    1    0.091889    0.075759
   -6   -3    0    1    2   -0.073921   -0.056591
   -6   -3    0    2    2   -0.023883   -0.048127
   -6   -2    0    1    1    0.002768   -0.015692
   -6   -2    0    2    1   -0.083307    0.047677
   -6   -2    0    1    2   -0.053963    0.013981
   -6   -2    0    2    2   -0.004647    0.015692
   -6   -1    0    1    1    0.127724   -0.015280
   -6   -1    0    2    1   -0.068891    0.068952
   -6   -1    0    1    2    0.086087   -0.053582
   -6   -1    0    2    2   -0.114582    0.015280
   -6    0    0    1    1    0.190253    0.000000
   -6    0    0    2    1    0.129451    0.126438
   -6    0    0    1    2    0.129451   -0.126438
   -6    0    0    2    2   -0.179296   -0.000000
   -5   -7    0    1    1    0.087776   -0.062671
   -5   -7    0    2    1    0.036318   -0.018170
   -5   -7    0    1    2   -0.061042   -0.011431
   -5   -7    0    2    2   -0.062598    0.062671
   -5   -6    0    1    1   -0.096266    0.027047
   -5   -6    0    2    1   -0.010209   -0.014487
   -5   -6    0    1    2   -0.148089   -0.054425
   -5   -6    0    2    2    0.109408   -0.027047
   -5   -5    0    1    1   -0.055432   -0.043911
   -5   -5    0    2    1   -0.012065   -0.031521
   -5   -5    0    1    2    0.123041   -0.010932
   -5   -5    0    2    2    0.046111    0.043911
   -5   -4    0    1    1    0.048059   -0.092387
   -5   -4    0    2    1   -0.002918   -0.015817
   -5   -4    0    1    2    0.109314   -0.008326
   -5   -4    0    2    2   -0.065448    0.092387
   -5   -3    0    1    1   -0.094334   -0.019916
   -5   -3    0    2    1    0.033805    0.005387
   -5   -3    0    1    2   -0.140288   -0.058838
   -5   -3    0    2    2    0.065949    0.019916
   -5   -2    0    1    1   -0.149692    0.020154
   -5   -2    0    2    1   -0.000275   -0.040524
   -5   -2    0    1    2   -0.073538    0.090628
