smearing_degauss_Ry,DFPT_kgrid,direction,distance,DFPT_frequency_cm-1,MLIP_plus_full_EPC_LR_cm-1,signed_error_cm-1
0.0019000869,144,KG,0.0,1288.039763,1285.738447004553,-2.3013159954468847
0.0019000869,144,KG,0.008000000000000007,1290.184203,1287.5590042173117,-2.625198782688358
0.0019000869,144,KG,0.015000000000000013,1293.949021,1290.8357825507908,-3.1132384492091205
0.0019000869,144,KG,0.025000000000000022,1299.850928,1295.9087736286544,-3.942154371345623
0.00285013035,144,KG,0.0,1289.791537,1287.2730029682953,-2.518534031704803
0.00285013035,144,KG,0.008000000000000007,1291.184005,1288.576269123178,-2.607735876822062
0.00285013035,144,KG,0.015000000000000013,1294.174434,1291.1325954365373,-3.041838563462761
0.00285013035,144,KG,0.025000000000000022,1299.567332,1295.6861145747732,-3.8812174252268505
0.0038001738,120,KG,0.0,1291.406318,1288.8559705048208,-2.550347495179267
0.0038001738,120,KG,0.008000000000000007,1292.439587,1289.8350276902022,-2.604559309797878
0.0038001738,120,KG,0.015000000000000013,1294.824737,1291.8370031256554,-2.9877338743444852
0.0038001738,120,KG,0.025000000000000022,1299.558697,1295.7323040011113,-3.8263929988886503
0.0,1_over_k_extrapolated,KG,0.003,1284.2286277105263,1284.114608027748,-0.11401968277822672
0.0,1_over_k_extrapolated,KM,0.003,1284.2615002894738,1284.1232928253312,-0.13820746414269136
