degauss_Ry,kgrid,gamma_frequency_cm-1,gamma_softening_at_center_vs_t0.08_cm-1,gamma_near_slope_THz_per_t,K_frequency_cm-1,K_left_slope_THz_per_t,K_right_slope_THz_per_t,K_slope_jump_THz_per_t,K_local_cusp_depth_cm-1
0.01,64,1573.770748,15.967735000000175,4.7532377982967216,1301.890075,-10.103527263729585,11.860500790860497,21.964028054590084,1.2307840000000851
0.01,32,1574.078591,15.732840000000124,4.5187082646810515,1302.031797,-10.111757435023426,11.873302892819167,21.985060327842593,1.12048649999997
0.04,32,1558.320032,5.9849999999999,1.4717900320927144,1354.165501,-1.6009812430450687,1.8030301242119786,3.4040113672570476,0.13817500000004657
0.08,32,1529.804423,2.2708789999999226,0.5435050467049196,1413.230551,0.3675078097287989,-0.4169540016219867,0.7844618113507856,-1.567545500000051
