law,degauss_Ry,reference_kgrid,linecut_f6_MAE_cm-1,Gamma_linecut_f6_MAE_cm-1,K_linecut_f6_MAE_cm-1,Gamma_center_DFT_cm-1,Gamma_center_method_cm-1,K_center_DFT_cm-1,K_center_method_cm-1,K_slope_jump_DFT_THz_per_t,K_slope_jump_method_THz_per_t,K_slope_jump_abs_error_THz_per_t
log_interp,0.01,32,20.432912208699317,2.8600462811881244,30.19561550176109,1574.078591,1575.725949293215,1302.031797,1339.724236989532,21.985060327842593,4.70702013583522,17.278040192007374
log_interp,0.04,32,4.419932590231107,11.141302910203013,0.6858379680244929,1558.320032,1569.7033689086604,1354.165501,1353.4146444731412,3.4040113672570476,3.577962252823784,0.17395088556673644
log_interp,0.08,32,4.398110837002946,2.8973702609222074,5.231855601492246,1529.804423,1526.6851657887873,1413.230551,1406.8796251114238,0.7844618113507856,0.13793874244771062,0.646523068903075
unified_anchor,0.01,32,15.615046504958448,3.2272248304210733,22.497169657479212,1574.078591,1578.8017926664825,1302.031797,1331.7592770933345,21.985060327842593,5.390411801187121,16.594648526655472
unified_anchor,0.04,32,4.420455538638976,11.138176060246996,0.688388582190075,1558.320032,1569.700107497547,1354.165501,1353.412063111915,3.4040113672570476,3.578047907497996,0.1740365402409485
unified_anchor,0.08,32,4.39633498120166,2.896604500034255,5.229518581850218,1529.804423,1526.685856286746,1413.230551,1406.8821571474955,0.7844618113507856,0.1384320429742738,0.6460297683765118
