direction,delta_equal_distance,tracked_mode_1based,tracked_A1prime_cm-1,relative_to_K_cm-1,mode_overlap,source_lane
KM,0.007,6,1289.306229,8.141645500000095,0.9998502379644999,B
K,0.0,6,1281.1645835,0.0,1.0,A+B mean
KG,0.007,6,1289.247374,8.082790500000101,0.9998533553792499,A
