sscha_index,atom_index,local_knn_score,local_knn_percentile,nearest_corrected_config,nearest_corrected_atom,force_error_norm_meV_A,force_error_x_meV_A,force_error_y_meV_A,force_error_z_meV_A,nearest_distance_A,second_distance_A,third_distance_A
94,0,1.8905087078386622,44.35648148148148,80,50,48.80019482206763,-29.6940479359436,28.232531464996324,-26.507483828678133,1.3910826091423445,1.4226454570369447,1.4972993441168152
94,1,3.217698722788777,97.43055555555556,133,11,92.87427443373612,-39.991250731201134,-79.33017814636223,-27.074961713981605,1.3733004800723627,1.4205248973080284,1.5862276990373492
94,2,1.972246445643887,51.77314814814815,214,13,30.092048871328913,-1.5360868130493421,18.537378412628147,-23.654543837585447,1.402797054080899,1.4299303839246404,1.5110807960941954
94,3,1.889512257723012,44.254629629629626,234,18,29.92750674638859,-22.410195652160624,-16.67367767776489,10.743708092880249,1.4030662531953084,1.4729952382035687,1.5037165072873289
94,4,1.7487699490961315,30.055555555555557,28,14,28.162157358397728,28.04745999664307,-2.510584159088114,-0.379554997329723,1.4024234838904601,1.4124189370887088,1.4282564842932257
94,5,1.487762964985459,7.4907407407407405,58,10,15.392492054856973,0.21275309326174163,-13.158056966094955,-7.984302390136699,1.3421399896087025,1.4479660420284532,1.4684663752195157
94,6,1.8775367535577339,42.97222222222222,55,67,25.575619448772187,-7.299475822219847,-18.581578276367196,15.986084938735962,1.4150505067149806,1.435087344722947,1.4793709409684563
94,7,2.0012952766584324,54.43055555555556,290,51,34.33911809873752,26.87671496694566,16.249775215988137,-13.883876613340375,1.3678498966135975,1.4114636346184672,1.477816454646723
94,8,2.1886230213473254,69.06944444444446,84,32,51.61133493287697,27.236815117759715,-36.840520414657576,-23.76261457356453,1.3526949689094148,1.3664490064738735,1.3973134258174358
94,9,1.7924807309613509,34.513888888888886,281,18,23.092861552008454,-18.27351317947387,-12.681190420684828,-6.2085731254577645,1.3360377772378191,1.4500734013598335,1.4658604777134931
94,10,2.721229556888198,90.60185185185186,275,39,35.35969869528993,3.8665042028808716,-32.95624794113161,12.216552652587865,1.4019351760126055,1.4190292190170481,1.512805124826537
94,11,1.68210223201771,23.26851851851852,19,17,36.28475527458073,-9.680008578948962,-12.886676243896499,32.508683065185565,1.4205115775485926,1.4494715879207785,1.450259628940738
94,12,1.6385112759419393,19.300925925925927,279,17,33.39103396050615,-2.4885627010345495,-33.20852313117981,2.441760856552122,1.3747221988294773,1.4319351561503288,1.4833054609982357
94,13,2.2409616048977954,72.3287037037037,258,47,36.95063465338378,-35.51140008773801,-10.19554972190856,0.5836359863281015,1.400874009011166,1.43566683057242,1.4994883272757629
94,14,1.8159853866888092,36.91203703703704,119,4,32.96658724372179,-17.54095273803713,-15.434020075073217,23.257297260475152,1.3407454143611117,1.4263398774721714,1.44549195172947
94,15,2.2626332430522504,73.75462962962963,64,20,53.308751795567396,21.73674653274538,44.82220444698334,18.981750622253436,1.4160443200756212,1.496603675661056,1.5146188469618211
94,16,1.5491034365144916,11.555555555555555,55,27,27.07566838113552,12.910837311515808,-10.316156757354754,21.447121204452525,1.3707324767622397,1.4374983791935803,1.457527728350745
94,17,2.1020213263704166,63.07870370370371,287,36,28.228262050394793,10.043447815885544,-26.350135847473144,1.2783877248525624,1.4054774701200734,1.4192501876847963,1.4271945033535822
94,18,2.269470066420199,74.11574074074075,268,3,30.014958798483686,-28.410510912933347,-2.465772728691112,9.362723225173951,1.401360932569208,1.4125083655224295,1.4726022443596138
94,19,1.5445507501900613,11.25,206,66,12.459943561334669,-9.873645595664977,-1.1149476427459448,7.517859266891483,1.373679486902283,1.4154163793725598,1.4631381105047145
