sscha_index,support_level,minimum_bond_A,minimum_bond_corrected_X0_lower_tail_percentile,maximum_atom_local_knn_percentile,n_atoms_above_local_ood_percentile,force_RMSE_meV_A,force_max_abs_meV_A,maximum_vector_error_atom,maximum_atom_force_error_norm_meV_A,Aprime_force_error_abs_meV_A,Aprime_radial_part_abs_meV_A,Aprime_remainder_part_abs_meV_A,radial_explained_fraction,shortest_bond_explained_fraction,n_first_neighbour_bonds,shortest_pair,shortest_distance_A,shortest_stretch_error_amplitude_meV_A
94,corrected_X0_core,1.3281742144562902,89.66666666666666,98.5462962962963,0,21.362791194228993,86.99289545715328,66,93.12036336471475,22.73376896676124,21.965769011772664,6.83323103081844,0.774664816611457,0.005352166791985994,108,"[27, 62]",1.3281742144562902,22.969402109549687
65,corrected_X0_core,1.296308069719481,27.0,96.68981481481481,0,29.360613539098217,120.71842534454346,49,139.25985626245824,52.782157131705176,58.45406978571303,8.033512088035522,0.8850039804528722,0.18502320766691424,108,"[14, 49]",1.296308069719481,185.6115960311668
87,corrected_X0_core,1.304118562534494,37.666666666666664,99.8888888888889,1,33.1817359347271,160.08068190368664,22,161.17036487458802,29.184153506830903,35.124801897306625,7.594128621047198,0.8302272457401515,0.19292969558904277,108,"[22, 51]",1.304118562534494,214.20298466864662
272,corrected_X0_core,1.3243803896935384,84.33333333333334,99.4074074074074,3,25.19231570034987,118.3613063482667,6,129.19120962737463,47.858987179418754,39.18325080508055,14.38305041010732,0.8019603831031538,0.002681471766449041,108,"[12, 47]",1.3243803896935384,19.172625088893056
216,corrected_X0_core,1.2890980976895718,17.333333333333336,99.74074074074075,2,36.53029318570813,189.1862829174804,0,192.65957265337585,30.672350712446082,18.075582459660048,21.04670451439606,0.8353109623020075,0.1244651896077011,108,"[0, 41]",1.2890980976895718,189.41047181674543
99,corrected_X0_core,1.2704604035168754,4.666666666666667,98.32407407407408,0,114.50984814110775,859.4305254522707,48,979.9960344448367,50.455099506713005,53.04964397220913,17.26675476894966,0.9012250222211402,0.6334652789699158,108,"[12, 48]",1.2704604035168754,1339.4642353313993
20,corrected_X0_core,1.2994879373050297,31.0,99.06018518518519,1,37.50043308801232,242.06407598815915,22,278.8760522924467,10.643825523519428,21.18260612366497,12.438640750254134,0.7830611267444954,0.4890682365108614,108,"[22, 58]",1.2994879373050297,385.43210579212706
6,corrected_X0_edge,1.31106449947521,53.0,99.92592592592592,2,29.84965679716066,132.41388855865478,0,142.99245879762108,41.70367976148395,47.97902918840878,6.2828103977450995,0.8370688779247499,0.12474082546939459,108,"[3, 38]",1.31106449947521,154.94248768006562
203,corrected_X0_core,1.3152688232750522,65.0,99.14814814814815,2,20.821555766620552,67.92605242507932,66,76.22421993961648,10.123990197001506,13.829456901940224,22.85550956578508,0.740957845146562,0.04439766719500676,108,"[31, 67]",1.3152688232750522,64.47927233903293
