temperature_K,degauss_Ry,channel,direct_cusp_depth_cm-1,q6_cusp_depth_cm-1,dense_cusp_depth_cm-1,direct_kink_cm-1_per_t,q6_kink_cm-1_per_t,dense_kink_cm-1_per_t,dense_kink_relative_error,dense_K_signed_offset_vs_static_DFPT_cm-1,dense_line_MAE_vs_interpolated_static_DFPT_cm-1_not_gated,minimum_adjacent_mode_overlap,Hermiticity_max_abs,rank_one_scalar_replay_max_abs_cm-1,time_reversal_top_frequency_max_abs_cm-1,K_star_top_frequency_spread_max_cm-1,shape_and_matrix_gate_pass
300,0.0019000869,L0,2.3512777849941813,0.1108227535792139,2.071878461855931,564.3066684550636,26.597460861671173,497.25083089515033,0.11882871727086985,1.2961868692543703,1.237970015429545,0.9999366871434244,0.0,4.547473508864641e-13,0.0,2.2737367544323206e-13,True
300,0.0019000869,Q0,2.3512777849941813,0.11695958976679321,2.090492733837891,564.3066684550636,28.070301546810214,501.7182561712948,0.11091205506240225,-5.939089724697624,7.755012621942608,0.9999498038881823,0.0,4.547473508864641e-13,0.0,3.297554940218106e-08,True
450,0.00285013035,L0,1.5537406423238735,0.10968968470479012,1.5491113818532085,372.89775419502075,26.325524331782276,371.7867316819501,0.002979429349122947,-10.53706850470985,12.170163683808973,0.9999315858974875,0.0,4.547473508864641e-13,0.0,6.821210263296962e-13,True
450,0.00285013035,Q0,1.5537406423238735,0.11568969184054367,1.5717343032122244,372.89775419502075,27.76552604447985,377.21623280862957,0.011580865170215825,-23.45585995197689,24.861736638012314,0.999949215337075,0.0,6.821210263296962e-13,0.0,4.364346750662662e-08,True
600,0.0038001738,L0,1.1617238567271215,0.10641244084854407,1.2051269863529797,278.81372564236426,25.538985806204565,289.2304767536392,0.03736096954077708,-19.748670454538797,21.27092720208797,0.9999270735162963,0.0,6.821210263296962e-13,0.0,0.0,True
600,0.0038001738,Q0,1.1617238567271215,0.22531427523199454,1.3368370305363442,278.81372564236426,54.07542606111371,320.8408873608351,0.15073562688366096,-60.8384678696475,60.5168123571611,0.9998009429592396,0.0,6.821210263296962e-13,0.0,2.0682364265667275e-08,True
