smearing_degauss_Ry,lattice_temperature_K,lattice_condition,direction,distance,signed_distance,q1,q2,short_range_background_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
0.0,,fixed_static_lattice_reference,K,0.0,0.0,0.3333333333333333,0.3333333333333333,1380.070552374435,-7.521315993779705e-06,-260601.55584432505,1282.182972
0.0,,fixed_static_lattice_reference,KG,0.001,-0.001,0.333,0.333,1380.0705728352552,-7.38747643365213e-06,-258989.82259324222,1282.8113514514077
0.0,,fixed_static_lattice_reference,KG,0.002,-0.002,0.33266666666666667,0.33266666666666667,1380.0706347705172,-7.248040496517137e-06,-257310.69621190813,1283.4657224655398
0.0,,fixed_static_lattice_reference,KG,0.003,-0.003,0.3323333333333333,0.3323333333333333,1380.0707390334194,-7.109713017010743e-06,-255644.91818599094,1284.114608027748
0.0,,fixed_static_lattice_reference,KG,0.004,-0.004,0.332,0.332,1380.070886509147,-6.974502816916783e-06,-254016.6793067741,1284.7486028337873
0.0,,fixed_static_lattice_reference,KG,0.005,-0.005,0.33166666666666667,0.33166666666666667,1380.07107811484,-6.839385929055529e-06,-252389.56411944656,1285.381895208428
0.0,,fixed_static_lattice_reference,KG,0.006,-0.006,0.3313333333333333,0.3313333333333333,1380.071314799563,-6.707890039215085e-06,-250806.05399856338,1285.9979704237603
0.0,,fixed_static_lattice_reference,KG,0.007,-0.007,0.331,0.331,1380.071597544267,-6.576069077556564e-06,-249218.62927232968,1286.61532132804
0.0,,fixed_static_lattice_reference,KG,0.008,-0.008,0.33066666666666666,0.33066666666666666,1380.0719273617449,-6.4481821304212885e-06,-247678.57904442307,1287.214024802223
0.0,,fixed_static_lattice_reference,KG,0.009000000000000001,-0.009000000000000001,0.3303333333333333,0.3303333333333333,1380.0723052965848,-6.31966237420012e-06,-246130.90835329652,1287.8154601857104
0.0,,fixed_static_lattice_reference,KG,0.01,-0.01,0.33,0.33,1380.072732425116,-6.195281228610707e-06,-244633.0759638061,1288.397326456214
