T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,fit_rmse_meVA
100,1572.81,1319.16,4.110,5.809,-0.158,20.07
300,1574.64,1318.10,3.966,5.931,-0.108,59.10
600,1569.03,1313.26,4.419,6.285,-0.051,115.99
