stage,lane,kgrid,qe_tag,integration,label,direction,delta_equal_distance,role,q_reduced_h,q_reduced_k,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
diagnostic,B,288,qe75_npk120k,tetrahedra_opt_no_degauss,K,K,0.0,k288_cross_host_anchor,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5773502691896258,544.269929,544.26993,1005.031215,1227.938828,1227.938829,1282.182972
diagnostic,B,288,qe75_npk120k,tetrahedra_opt_no_degauss,KM_d003,KM,0.003,k288_d003_convergence,0.3343333333333333,0.3313333333333333,0.3343333333333333,0.5756182183820568,542.79093,545.503714,1005.006511,1226.541124,1229.094672,1287.038604
