direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
K,0.0,0.0,0.3333333333333333,0.3333333333333333,1380.070552374435,-7.521315993779705e-06,-260601.5558443251,1282.182972
KG,0.001,-0.001,0.333,0.333,1380.0705728352552,-7.38747643365213e-06,-258989.82259324228,1282.8113514514077
KG,0.002,-0.002,0.33266666666666667,0.33266666666666667,1380.0706347705172,-7.248040496517137e-06,-257310.69621190813,1283.4657224655398
KG,0.003,-0.003,0.3323333333333333,0.3323333333333333,1380.0707390334194,-7.109713017010743e-06,-255644.91818599094,1284.114608027748
KG,0.004,-0.004,0.332,0.332,1380.070886509147,-6.974502816916783e-06,-254016.6793067741,1284.7486028337873
KG,0.005,-0.005,0.33166666666666667,0.33166666666666667,1380.07107811484,-6.839385929055529e-06,-252389.56411944662,1285.381895208428
KG,0.006,-0.006,0.3313333333333333,0.3313333333333333,1380.071314799563,-6.707890039215085e-06,-250806.05399856338,1285.9979704237603
KG,0.007,-0.007,0.331,0.331,1380.071597544267,-6.576069077556564e-06,-249218.62927232974,1286.61532132804
KG,0.008,-0.008,0.33066666666666666,0.33066666666666666,1380.0719273617449,-6.4481821304212885e-06,-247678.57904442307,1287.214024802223
KG,0.009000000000000001,-0.009000000000000001,0.3303333333333333,0.3303333333333333,1380.0723052965848,-6.31966237420012e-06,-246130.90835329652,1287.8154601857104
KG,0.01,-0.01,0.33,0.33,1380.072732425116,-6.195281228610707e-06,-244633.07596380613,1288.397326456214
KG,0.011,-0.011,0.32966666666666666,0.32966666666666666,1380.0732098553492,-6.070074345527167e-06,-243125.2998134824,1288.9828411375242
KG,0.012,-0.012,0.3293333333333333,0.3293333333333333,1380.0737387269146,-5.949133277326006e-06,-241668.89379380114,1289.5482272989573
KG,0.013000000000000001,-0.013000000000000001,0.329,0.329,1380.0743202109907,-5.827211977415812e-06,-240200.68355093128,1290.1179968339704
KG,0.014,-0.014,0.32866666666666666,0.32866666666666666,1380.0749555102302,-5.709654016428813e-06,-238785.01785035932,1290.6672169758572
KG,0.015,-0.015,0.3283333333333333,0.3283333333333333,1380.075645858681,-5.5909955802358216e-06,-237356.0999209262,1291.221394018597
KG,0.016,-0.016,0.328,0.328,1380.0763925217,-5.476751189362357e-06,-235980.33715433493,1291.7548188574233
KG,0.017,-0.017,0.32766666666666666,0.32766666666666666,1380.0771967958651,-5.36132291846169e-06,-234590.31777480122,1292.293601060197
KG,0.018000000000000002,-0.018000000000000002,0.3273333333333333,0.3273333333333333,1380.0780600088783,-5.250343996001281e-06,-233253.87868811947,1292.811499418902
KG,0.019,-0.019,0.327,0.327,1380.0789835194637,-5.138100430942854e-06,-231902.21042312885,1293.3351423080512
KG,0.02,-0.02,0.32666666666666666,0.32666666666666666,1380.0799687172641,-5.030319347249286e-06,-230604.28060132515,1293.83787216688
KG,0.021,-0.021,0.3263333333333333,0.3263333333333333,1380.0810170227319,-4.921261495421046e-06,-229290.97558212385,1294.3464134320357
KG,0.022,-0.022,0.326,0.326,1380.0821298870073,-4.816580136451916e-06,-228030.3735085795,1294.8344727125855
