sscha_index,force_RMSE_meV_A,force_max_abs_meV_A,Aprime_force_error_abs_meV_A
94,21.362790839974423,86.99289545715328,22.733764269703418
65,29.360613539098217,120.71842534454346,52.782157131705176
87,33.1817359347271,160.08068190368664,29.184153506830903
272,25.19231570034987,118.3613063482667,47.858987179418754
216,36.53029318570813,189.1862829174804,30.672350712446082
99,114.50984814110775,859.4305254522707,50.455099506713005
20,37.50043308801232,242.06407598815915,10.643825523519428
6,29.84965679716066,132.41388855865478,41.70367976148395
203,20.821555766620552,67.92605242507932,10.123990197001506
