campaign,degauss_Ry,kgrid,region,t_GK,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
FD600_CONV,0.0038001738,72,G,0.0,0.0,0.0,113.368759,113.368759,113.953705,884.393488,1573.194462,1573.194462
FD600_CONV,0.0038001738,72,G,0.015,0.005,0.008660254038,113.919755,114.821513,116.342927,884.347465,1573.786621,1575.790008
FD600_CONV,0.0038001738,72,G,0.03,0.01,0.017320508076,113.890431,119.381254,126.897435,884.175983,1573.34761,1580.169968
FD600_CONV,0.0038001738,72,K,0.98,0.326666666667,0.565803263806,534.761519,553.52517,1003.384774,1219.280657,1237.76901,1296.987693
FD600_CONV,0.0038001738,72,K,0.99,0.33,0.571576766498,539.497717,548.734467,1004.594092,1223.537777,1232.397776,1292.927473
FD600_CONV,0.0038001738,72,K,1.0,0.333333333333,0.57735026919,544.231572,544.231573,1005.023052,1228.069423,1228.069424,1291.092595
FD600_CONV,0.0038001738,72,K,1.01,0.336666666667,0.583123771882,539.645442,548.586463,1004.576852,1223.860264,1232.069479,1293.001974
FD600_CONV,0.0038001738,72,K,1.02,0.34,0.588897274573,535.36461,552.931824,1003.166426,1220.750973,1236.339251,1297.277405
FD600_CONV,0.0038001738,96,G,0.0,0.0,0.0,113.368775,113.368775,113.949585,884.401033,1573.803014,1573.803014
FD600_CONV,0.0038001738,96,G,0.015,0.005,0.008660254038,113.864837,114.796451,116.355127,884.33689,1573.775137,1575.961519
FD600_CONV,0.0038001738,96,G,0.03,0.01,0.017320508076,113.921005,119.404653,126.938165,884.173533,1573.330839,1580.180903
FD600_CONV,0.0038001738,96,K,0.98,0.326666666667,0.565803263806,534.751133,553.5143,1003.383894,1219.277439,1237.765676,1297.060609
FD600_CONV,0.0038001738,96,K,0.99,0.33,0.571576766498,539.48639,548.719704,1004.595236,1223.552616,1232.402255,1292.993745
FD600_CONV,0.0038001738,96,K,1.0,0.333333333333,0.57735026919,544.236044,544.236045,1005.022857,1228.095906,1228.095907,1291.361748
FD600_CONV,0.0038001738,96,K,1.01,0.336666666667,0.583123771882,539.633384,548.572662,1004.578415,1223.864292,1232.083768,1293.043988
FD600_CONV,0.0038001738,96,K,1.02,0.34,0.588897274573,535.354488,552.92116,1003.167019,1220.744464,1236.337536,1297.346789
FD600_CONV,0.0038001738,120,G,0.0,0.0,0.0,113.368803,113.368803,113.948704,884.406119,1573.924405,1573.924405
FD600_CONV,0.0038001738,120,G,0.015,0.005,0.008660254038,113.964744,114.861542,116.373428,884.347286,1573.77789,1575.971547
FD600_CONV,0.0038001738,120,G,0.03,0.01,0.017320508076,113.943032,119.418351,126.947205,884.179294,1573.326134,1580.214625
FD600_CONV,0.0038001738,120,K,0.98,0.326666666667,0.565803263806,534.766996,553.530437,1003.386021,1219.278914,1237.766579,1297.067435
FD600_CONV,0.0038001738,120,K,0.99,0.33,0.571576766498,539.503558,548.73915,1004.596713,1223.554677,1232.402616,1293.003624
FD600_CONV,0.0038001738,120,K,1.0,0.333333333333,0.57735026919,544.240067,544.240068,1005.023723,1228.10054,1228.100541,1291.406318
FD600_CONV,0.0038001738,120,K,1.01,0.336666666667,0.583123771882,539.651145,548.591846,1004.580166,1223.864842,1232.086462,1293.0494
FD600_CONV,0.0038001738,120,K,1.02,0.34,0.588897274573,535.369335,552.938937,1003.168375,1220.745139,1236.339558,1297.356519
