stage,lane,kgrid,qe_tag,integration,label,direction,delta_equal_distance,role,q_reduced_h,q_reduced_k,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
pilot,A,192,qe75_conda,tetrahedra_opt_no_degauss,K,K,0.0,development_anchor_cross_host,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5773502691896258,544.26139,544.261391,1005.029681,1227.88342,1227.88342,1281.164584
pilot,A,192,qe75_conda,tetrahedra_opt_no_degauss,KG_d007,KG,0.007,development,0.331,0.331,0.331,0.5733088173052985,540.927202,547.360483,1004.828852,1224.882061,1230.961781,1289.247374
