t_GK,old_band1_rel_eV,old_band2_rel_eV,matched_band1_rel_eV,matched_band2_rel_eV
0.0,-7.668256971775288,3.54308943587691,-3.077137801212783,3.238740533263589
0.002,-7.666899064334063,3.5417614555706334,-3.08208767745566,3.2436331649663868
0.004,-7.665570584252053,3.540523739509201,-3.0870900786722872,3.248463964646865
0.006,-7.664273316263594,3.5393786570178776,-3.0921579879623406,3.2532467118842923
0.008,-7.663008752041645,3.538328671865401,-3.0973027529931505,3.2579940753029266
0.01,-7.661778089502495,3.5373763383809,-3.102534337065115,3.262717853845799
0.012,-7.660582233272415,3.5365242974707,-3.1078616612101415,3.2674293052591294
0.014,-7.659421796290943,3.535775272522656,-3.1132930212394374,3.272139545797152
0.016,-7.658297102518596,3.535132065182566,-3.118836561517015,3.276860003043066
0.018000000000000002,-7.6572081907106275,3.534597550984335,-3.1245007855898246,3.281602902121059
0.02,-7.656154819212044,3.534174674813001,-3.1302950826879785,3.286381764481064
0.022,-7.655136471723599,3.533866446177554,-3.1362302485379017,3.291211897890186
0.024,-7.654152363982992,3.5336759342685697,-3.1423189789130763,3.2961108562681316
0.026000000000000002,-7.65320145130108,3.533606262774298,-3.1485763148744645,3.301098848551841
0.028,-7.652282436888405,3.5336606044277383,-3.1550200197113334,3.3061990768518967
0.03,-7.651393780903484,3.5338421752568063,-3.1616708691604174,3.311437985747691
0.032,-7.65053371015166,3.5341542285094034,-3.168552838530595,3.31684540663303
0.034,-7.649700228360328,3.5346000482257516,-3.175693172859681,3.3224545835368446
0.036000000000000004,-7.648891126954699,3.535182942431103,-3.1831223291442896,3.328302069769692
0.038,-7.648103996256757,3.535906235923364,-3.1908737829712264,3.3344274880439713
0.04,-7.64733623702971,3.5367732626319244,-3.1989836954914255,3.3408731503357902
0.042,-7.6465850722898425,3.53778735752641,-3.2074904405555342,3.3476835376399388
0.044,-7.645847559308524,3.5389518480567723,-3.216433995901949,3.3549046438445878
0.046,-7.645120601728171,3.540270045109446,-3.2258552064661856,3.3625831921311553
0.048,-7.6444009617179765,3.541745233467905,-3.235794932059057,3.3707657364824604
0.05,-7.643685272097184,3.5433806617700974,-3.24629309571851,3.3794976649362116
0.052000000000000005,-7.642970048357104,3.5451795319596133,-3.257387652837651,3.3888221250129993
0.054,-7.642251700516092,3.5471449882322976,-3.2691135045604875,3.398778895129068
0.056,-7.641526544745919,3.549280105485049,-3.2815013817635448,3.4094032286211977
0.058,-7.640790814712063,3.5515878772789273,-3.294576728057807,3.420724699115019
0.06,-7.640040672575599,3.554071203334206,-3.308358611518302,3.432766077227247
0.062,-7.639272219608956,3.5567328765808046,-3.3228586951742223,3.445542268901866
0.064,-7.638481506383941,3.5595755697932683,-3.33808029560453,3.45905934497458
0.066,-7.637664542495377,3.562601821845413,-3.354017557265398,3.4733136898219863
0.068,-7.636817305790189,3.565814023625681,-3.3706547674642424,3.48829129421896
0.07,-7.635935751077576,3.5692144036600366,-3.3879658332830482,3.503967213893396
0.07200000000000001,-7.635015818301993,3.572805013495032,-3.4059139373881653,3.52030521087781
0.074,-7.634053440166931,3.5765877128992423,-3.4244513847349376,3.537257589803417
0.076,-7.633044549203864,3.5805641549466345,-3.4435196469063127,3.5547652359869755
0.078,-7.6319850842862005,3.5847357710505765,-3.4630496054536746,3.572757856762514
0.08,-7.630870996594816,3.589103756021908,-3.4829619903729157,3.591154422247204
0.082,-7.629698255046809,3.593669053228958,-3.503168004969214,3.6098637968226903
0.084,-7.628462851205284,3.5984323399413465,-3.52357012402733,3.6287855482475853
0.08600000000000001,-7.62716080369253,3.6033940129429136,-3.544063048553923,3.6478109176378988
0.088,-7.6257881621344845,3.6085541745021112,-3.564534797489027,3.666823930653555
0.09,-7.624341010668595,3.6139126187906685,-3.5848679147374325,3.6857026281540257
0.092,-7.622815471051173,3.6194688188431483,-3.604940768640848,3.7043203933279294
0.094,-7.621207705404433,3.625221914151255,-3.6246289205504345,3.722547351811875
0.096,-7.619513918645963,3.6311706989873667,-3.6438065393832595,3.7402518215109115
0.098,-7.617730360646628,3.637313611551651,-3.662347839851157,3.7573017896112493
0.1,-7.61585332816447,3.6436487240363817,-3.6801285233172267,3.7735663955175363
0.10200000000000001,-7.61387916660414,3.6501737336996047,-3.6970272018425003,3.788917400029883
0.10400000000000001,-7.611804271652109,3.656885955038149,-3.712926787814867,3.8032306228832953
0.106,-7.609625090838407,3.6637823131471308,-3.7277158334996114,3.816387332697228
0.108,-7.607338125075445,3.670859338349594,-3.7412898068202827,3.828275575333992
0.11,-7.604939930223861,3.6781131621756398,-3.753552291598779,3.8387914285661564
0.112,-7.602427118733645,3.685539514765659,-3.7644161022930964,3.84784017274757
0.114,-7.5997963614075905,3.6931337237666466,-3.7738043049309367,3.8553373688282315
0.116,-7.597044389331145,3.700890714784588,-3.781651137420197,3.861209836524576
0.11800000000000001,-7.5941679960100705,3.7088050134492487,-3.7879028237100245,3.865396526740088
0.12,-7.591164039754287,3.7168707491404103,-3.792518277376681,3.8678492834245257
0.122,-7.5880294463419675,3.7250816604171035,-3.795469691122662,3.8685334909695883
0.124,-7.584761211994397,3.73343110218316,-3.7967430094185497,3.867428603977531
0.126,-7.581356406686976,3.7419120546140254,-3.7963382821024068,3.864528556825042
0.128,-7.57781217781758,3.750517133860969,-3.7942698972044377,3.859842050899624
0.13,-7.574125754247853,3.759238604539771,-3.790566691607605,3.853392717734501
0.132,-7.570294450728238,3.7680683940017463,-3.785271938418055,3.845219156538311
0.134,-7.566315672711661,3.77699810837555,-3.778443210130738,3.835374844837657
0.136,-7.5621869215556865,3.786019050358738,-3.7701521168688927,3.823927921156115
0.138,-7.557905800106986,3.7951222387286307,-3.7604839191858064,3.810960838877994
0.14,-7.5534700186566655,3.804298429532503,-3.7495370151819554,3.7965698907268433
0.14200000000000002,-7.548877401249446,3.8135381389078526,-3.7374223020511046,3.7808646036681393
0.14400000000000002,-7.544125892323874,3.822831667474335,-3.7242624126675867,3.7639670045660596
0.146,-7.53921356365612,3.832169126229959,-3.71019082851031,3.746010757630544
0.148,-7.534138621574152,3.8415404638755524,-3.6953508711304677,3.727140175627546
0.15,-7.528899414404726,3.8509354954830934,-3.6798945755528925,3.70750910803535
0.152,-7.5234944401107215,3.8603439324156374,-3.663981450491855,3.6872797108491526
0.154,-7.517922354072149,3.8697554133989893,-3.647777132087927,3.666621104591883
