asr_residual_pred,cv_error_300k,error,f_error_300k,freq_mae,freq_rmse,model,mp_id,n_displacements,n_imaginary_pred,n_imaginary_ref,omega_max_error,omega_max_pred,omega_max_ref,s_error_300k,softening_pct
1.4624744813366757e-05,7.1717353248395455,,-5.252086326102948,0.9170852035874619,1.092337337665177,chgnet,mp-10851,5,21,335,-1.3609584968953854,35.93486446491875,37.29582296181414,8.231408810501875,-3.6490909405292444
4.516808462068585e-08,8.388614566008698,,-39.50459419272127,2.3520911585482676,2.6729234210016264,chgnet,mp-19795,48,595,0,-3.818775427560438,5.750782860107955,9.569558287668393,121.27692469190129,-39.90545135694948
1.2535071120673007e-07,0.9814590054792234,,-2.7367763289330203,0.7208679332390776,0.8132958277791684,chgnet,mp-2472,2,0,0,-1.1999287854985816,11.510365177778603,12.710293963277184,8.033930021666059,-9.440606086416553
3.96837203290469e-07,71.50289108580868,,94.76509706728899,30.14661603993082,43.83977130296715,chgnet,mp-34381,72,2555,716,-87.32236588426831,11.113747319209674,98.43611320347799,119.43382211947274,-88.70968493419039
4.2681904306638994e-07,5.595871910304908,,-8.859152113707836,1.1324457615206256,1.3610436688046923,chgnet,mp-554089,72,1065,13,-0.9311252355742781,35.91295475857345,36.84407999414773,14.00827763926577,-2.5272044673721723
1.622231507105516e-07,16.467615181247652,,-32.617510145159784,0.968504243204843,1.0816179673016242,chgnet,mp-555846,168,3874,1217,-2.090111874903215,19.403741235120407,21.493853110023622,78.74631547474519,-9.724230756599406
2.41506002289671e-07,10.186157941491388,,-24.534988734051765,1.3358862941790328,1.8174705482827536,chgnet,mp-560616,96,705,11,-1.4514775049741289,49.149879678358914,50.60135718333304,56.68513969930467,-2.8684556813670072
2.399511955171423e-07,63.14093775220958,,58.04330668432091,24.474986282818147,34.70799470185418,chgnet,mp-625521,60,9188,468,-72.03850346019095,14.456901214388242,86.49540467457919,96.15830661569055,-83.28593146794411
1.1580305390220194e-06,10.806835042654598,,-12.694372838378634,1.1373930446999931,1.2813871609402243,chgnet,mp-753378,18,74,76,-1.4803507856103977,24.594865852479707,26.075216638090104,26.69356131584715,-5.677232930245088
1.273710955836957e-07,10.73993035438707,,-14.97258107559567,1.343891322609366,1.6527042859093426,chgnet,mp-9946,12,0,0,-2.0600610867850033,8.425536618601901,10.485597705386905,37.86974783379037,-19.646577569218213
1.4847985187688602e-07,3.499655901047788,,-4.71913467298762,2.1223472760478064,2.289908400504209,chgnet,mp-1138,2,0,0,-3.5965828475302484,14.599490506409326,18.196073353939575,11.505086920045315,-19.765708664565057
1.845307093449228e-07,2.0859804488937357,,-2.2967062665603857,1.155369543702521,1.434513605055033,chgnet,mp-1986,2,0,0,-1.6753337925673257,15.03588281635109,16.711216608918416,4.9193292415561345,-10.025205416063104
1.2072098792126175e-07,3.4126885692583286,,-6.253994686403249,2.4285245100498276,2.919561517082104,chgnet,mp-2490,2,0,0,-4.255676333484139,7.387160548419031,11.64283688190317,16.976572785099435,-36.55188487694843
3.72964528779006e-07,100.16472499698813,,38.02159480817287,10.317700478089696,12.885387192522984,chgnet,mp-36066,72,295,84,-29.454629717728654,13.02174044413783,42.476370161866484,98.57669951825885,-69.34356585905213
2.7001043578231885e-07,188.05890343016497,,80.58689229389081,9.704689930728188,12.506476748727701,chgnet,mp-554151,144,6275,594,-24.65498505431426,12.02932135436116,36.68430640867542,191.08426028511118,-67.20853538744743
5.074140129739515e-08,18.72874466246617,,-108.70153031445885,2.5719556796212095,2.822630316047169,chgnet,mp-556296,96,242,4,-3.8540023829257777,9.63135047694926,13.485352859875038,340.5897521967512,-28.57917344078671
2.732315675330466e-07,847.7732514657997,,350.23010028971686,9.794313841691837,12.718083334925677,chgnet,mp-560998,648,42145,7165,-25.53098777818222,12.063685483092268,37.59467326127449,907.159291758397,-67.91118412107913
4.0985131196785185e-07,78.23163530311824,,-0.5450990948867904,14.111170531179289,23.024015936746128,chgnet,mp-632229,32,122,10,-58.48440779316548,3.360701872022705,61.84510966518818,204.26248632101021,-94.56593756528757
4.3670091303522636e-08,-0.21634020389970487,,-14.411486765256448,0.6588638742852165,0.7564974057761764,chgnet,mp-753575,36,1435,222,-1.4926720726747016,4.412435852987186,5.905107925661888,45.678979031490826,-25.27764253364416
5.160937833046784e-07,362.95305893022146,,115.61532080721912,6.568077547247679,7.207515034635708,chgnet,mp-1143,180,0,0,-15.13169172979483,11.164639253272455,26.296330983067286,274.23413205961214,-57.54297715349879
1.0126801816047965e-07,2.274488300729381,,-5.800709663048712,1.7624244339762225,2.0694462189766223,chgnet,mp-20351,2,0,0,-2.91424299663964,7.305406666571717,10.219649663211356,16.814662880857597,-28.516075332115516
2.4193394015102043e-06,33.23624025146799,,-43.43313677240263,3.6519051490805516,3.7679975134306494,chgnet,mp-2589,3,0,0,-3.223223702305198,23.932315110872757,27.155538813177955,100.0081859298451,-11.869489036767122
3.576123172818299e-07,128.69915528256553,,8.576031554679318,5.704009958943781,7.140336369151764,chgnet,mp-390,48,41,0,-16.057105965820508,9.469302602115526,25.526408567936034,143.94933732781095,-62.903897832262984
6.240544433318753e-07,10.444997578143955,,-8.63540694684636,0.6022508624441348,0.7288531306553422,chgnet,mp-554243,9,1423,1841,-0.8714471485111375,37.46614064677782,38.33758779528896,17.718008583985977,-2.273088106545461
7.429623749531374e-08,7.8008226513021555,,-153.8887733330204,2.3763723696458467,2.575985699951264,chgnet,mp-556328,192,25800,295,-2.152269335978797,9.052277788527995,11.204547124506792,440.9519512245258,-19.208891819208954
2.3410358797958497e-07,61.20880572062249,,16.70267595094833,5.2414962344111276,9.840870794270034,chgnet,mp-561203,48,19027,45,-23.302121646674344,6.046314528233898,29.34843617490824,38.6881150331283,-79.39817136354523
3.6657699470396923e-07,121.45070222182737,,18.363861475803837,11.41266508457651,23.71212697908104,chgnet,mp-644271,72,4,327,-70.0993574093021,6.897943409242695,76.9973008185448,175.5927746656053,-91.04131789567703
3.368124310808521e-07,98.7486132001121,,39.78379154136932,10.281953044358083,12.838020405398245,chgnet,mp-753671,72,155,12,-28.894879355385477,13.028880451510013,41.92375980689549,95.97575217183564,-68.92244275913664
2.836121918743165e-07,362.6719522457917,,165.14777991784857,9.571723416304225,12.211296728417238,chgnet,mp-11684,288,30523,4188,-24.507452559367163,12.36245054609292,36.86990310546008,332.3645245213598,-66.47007584822711
9.584471982409541e-08,5.735003722223524,,-22.806281967626592,1.9582116434333368,2.318757852861132,chgnet,mp-20878,48,3691,151,-4.725085194800133,10.323289760126912,15.048374954927045,60.96946095527096,-31.399305300092056
2.4337103673455215e-07,1.343950452930038,,-2.2379111723407132,0.8574927628324002,0.9319009448657425,chgnet,mp-2605,2,0,0,-0.6239759103980198,13.957682412450156,14.581658322848176,5.917576567634285,-4.279183454877039
3.221783165414186e-07,49.94781416695195,,-25.66143830158328,1.8504792595681596,2.210222911126439,chgnet,mp-406,4,0,0,-2.0749835211010965,2.6528720366615457,4.727855557762642,135.35030768327232,-43.888471120785226
2.741186436564086e-07,741.8118878156649,,318.85623945091976,9.809352354256335,12.717635160112847,chgnet,mp-554267,288,28365,3724,-26.73544088698386,11.510535901020711,38.24597678800457,757.9303219541086,-69.90393011839389
4.8153425616043e-07,45.509065820240096,,-33.40063303156387,3.9505757394544507,4.588121781098721,chgnet,mp-557082,216,11977,4736,5.512733258392501,102.19227502032004,96.67954176192754,87.27998095771733,5.702068046585858
2.9414234641797275e-07,55.202532134585994,,13.441743231436433,5.205057892587451,10.641051203907265,chgnet,mp-561367,24,26138,1579,-24.588231922087257,5.493403607690909,30.081635529778165,47.62739084395349,-81.73834796232099
3.2722539336266157e-07,7.482992972936586,,-16.787679724113346,1.7640929603175337,2.3404578249612897,chgnet,mp-644419,72,4,740,-2.6961824038693862,74.39798588427546,77.09416828814484,41.25987984230562,-3.4972585653848887
2.7114661440906137e-07,465.1902385002214,,18.36461115825545,10.537300631426785,15.441421668420777,chgnet,mp-760411,192,9024,1323,-41.7649983262165,2.8074770207631534,44.57247534697965,734.3684370219545,-93.70132127751933
1.637631880810907e-07,122.36242693685037,,21.19849489455967,5.651822987987701,6.166278586461077,chgnet,mp-1265,48,0,0,-9.191611612682879,9.100398988231829,18.292010600914708,109.306844494954,-50.24932367042934
7.962361650825281e-08,3.952065551859718,,-10.34532383893113,3.1539308928007426,3.688056242585879,chgnet,mp-2172,2,0,0,-5.840027125845601,5.858735182370725,11.698762308216326,30.100435571031,-49.9200425821457
1.1871807942446272e-07,2.4094308371416844,,-4.530887013784276,1.1860795945024163,1.2627947782243714,chgnet,mp-2741,2,0,0,-2.3186570375570046,11.356585767735265,13.67524280529227,12.394799449163443,-16.955143470357196
1.1279753262598163e-07,202.5834167351389,,6.178756370085839,5.406377716678583,6.678766633265345,chgnet,mp-4651,120,9887,43,-16.48594037247068,8.22935402516381,24.71529439763449,257.68162813380195,-66.70339469655904
8.351256141168659e-07,385.96746132091334,,157.47918338665693,9.769286662659335,12.995706808583433,chgnet,mp-554543,152,9890,2889,-26.649037130817803,11.568756020391364,38.217793151209165,413.7882498912571,-69.72939809836889
2.8487388454242004e-07,11.843669536926598,,-13.203840159475334,0.9581201347133195,1.1555206018320425,chgnet,mp-557465,144,1718,484,-2.0933074564161913,35.73968207888814,37.83298953530433,12.560316976000934,-5.533021529960764
2.6577263366104627e-07,263.13887687476097,,48.77451389207802,11.835211651831035,16.89102254701814,chgnet,mp-561412,180,7661,673,-38.46643153058643,7.146420737577187,45.61285226816362,383.0340675672952,-84.33244056836767
3.2772692134386566e-07,8.76165663650464,,-7.931149644423712,2.59239732264279,2.8408284269726667,chgnet,mp-661,4,0,0,-3.057049385225735,22.530499229697313,25.587548614923048,12.218032528544427,-11.947410169033612
