T_K,w_gamma_cm,w_k_cm,kink_gamma,kink_k,minfreq_thz,force_rms_meVA,rmse_fc2_meVA,rmse_fc23_meVA,anharm_frac_cubic,anharm_frac_force,fc3_norm
100,345.65,303.15,1.290,0.882,-0.000,235.01,27.56,10.67,0.6129,0.1173,350.2316
200,334.70,302.15,0.792,0.894,-0.000,343.00,61.72,23.31,0.6223,0.1799,375.9090
300,319.30,302.89,0.230,0.801,-0.000,427.76,94.27,38.08,0.5961,0.2204,372.8078
500,293.12,300.69,0.839,0.550,-0.000,587.63,175.07,74.49,0.5745,0.2979,382.4263
