lane,degauss_Ry,kgrid,region,t_GK,q,sha256,bytes,hermitian_max_abs,eigenvector_orthogonality_max_abs,csv_frequency_max_abs_cm-1,matrix_frequency_max_abs_cm-1,matrix_scale_cm-2
B,0.01,32,K,1.03,"[0.343333333, 0.594670777, 0.0]",f3833058f660b07c510e08fc5e85c88bdd83777c49f68d68865df2f7ac6d7ced,8572,0.0,1.0689399999597171e-06,0.0,2.121126499332604e-06,1100016.9915649998
B,0.01,32,K,1.05,"[0.35, 0.606217783, 0.0]",7197eed1ae4ebdd440de79842651a2f0e81a2aff692bdae9d481a3b70d22b18f,8572,0.0,8.341310000492541e-07,0.0,6.599173957511084e-06,1100016.9858641755
B,0.01,32,K,1.08,"[0.36, 0.623538291, 0.0]",f53379d9bb5c06748348687f6d6217625dcbe2c8a49cf816cebc8f03586cc1fe,8572,0.0,1.079348901514679e-06,0.0,1.6304445580317406e-06,1100016.9875281346
B,0.04,32,G,0.0,"[0.0, 0.0, 0.0]",d153c7a7f37afd87b6bbb70a2bb69a431c1cfa0f58d95b3694c7eef43e38a2a2,2927,0.0,9.963879998853287e-07,0.0,2.1227104753052117e-05,1100016.9575706522
B,0.04,32,G,0.015,"[0.005, 0.008660254, 0.0]",bb072b0dcc5bfcdd7c1d14efebe9b2a52b14e4de0d7ff568d7f23fc4578a2a69,8572,0.0,1.5236029999865508e-06,0.0,4.1757618788551554e-05,1100016.9904044413
B,0.04,32,G,0.03,"[0.01, 0.017320508, 0.0]",7e7dde39d33b895032c2125e0d204da49238b3e46e45a011fd5ba7e3185d6993,8572,0.0,9.488442358196472e-07,0.0,2.901719562942162e-05,1100016.998372031
B,0.04,32,G,0.05,"[0.016666667, 0.028867513, 0.0]",56e3c62df917a3d6526b9e7aaa07426b70ac6fea5e2dbaac3f5952935fc4e723,8572,0.0,8.191810000335309e-07,0.0,2.972454950622705e-05,1100016.988025756
B,0.04,32,G,0.08,"[0.026666667, 0.046188022, 0.0]",c03a0c488bc3735391a9c7a72d8173ddb4e96af1454ac398e928bd8ed018dcdc,8572,0.0,1.118668000010814e-06,0.0,1.989624129805634e-05,1100016.9800240817
B,0.04,32,K,0.92,"[0.306666667, 0.531162248, 0.0]",c46773c88acb8bdc64ec4dfd14a0e88ccd56b4f74f345612dd02b71553bc34eb,8572,0.0,7.458947547703767e-07,0.0,6.156535562240606e-06,1100016.9889877206
B,0.04,32,K,0.95,"[0.316666667, 0.548482756, 0.0]",a03ccf919aafbbc1373541d1f09a070fd3c0f18ec0cd6ab74295a253e37c3973,8572,0.0,6.89536999998186e-07,0.0,6.876371912767354e-06,1100016.9901463557
B,0.04,32,K,0.97,"[0.323333333, 0.560029761, 0.0]",af2b86a8ca16c2fa914881db607cc5fece62c2a280ca7f713983147e8addec63,8572,0.0,1.211801841665816e-06,0.0,2.8538804599520518e-06,1100016.9911094015
B,0.04,32,K,0.985,"[0.328333333, 0.568690015, 0.0]",8eaf032a3ca59af08203f9896ee15bc2c1d1b3eb55f6f1c0eba7c7bf8c870873,8572,0.0,1.1053850772591862e-06,0.0,7.514331173297251e-06,1100016.9859256158
B,0.04,32,K,1.0,"[0.333333333, 0.577350269, 0.0]",404ce8368d67c59816237ba6179adbe2e9880881886f0e0aa02eb8bf237baf22,4056,0.0,6.188980001819999e-07,0.0,6.378115813276963e-06,1100016.9932922248
B,0.04,32,K,1.015,"[0.338333333, 0.586010523, 0.0]",9aceccd6fd872483e9ca3e094cb89338218fd76d19ad93a380ddbf0fa819f0be,8572,0.0,9.517476073834034e-07,0.0,4.727760938294523e-06,1100016.9855039339
B,0.04,32,K,1.03,"[0.343333333, 0.594670777, 0.0]",7f60f9e3307b3cf7e03d5cfe6b3bf870be88f910fcc5dbcb1012d82f0641e4bb,8572,0.0,9.130022456606343e-07,0.0,4.158617684879573e-06,1100016.9915363356
B,0.04,32,K,1.05,"[0.35, 0.606217783, 0.0]",e5aac0661bec90c3f9cfb95e7bb5cfb312f419aecc6aa98220e466438d10bfcf,8572,0.0,8.891186217691532e-07,0.0,5.0282408210478025e-06,1100016.9898184296
B,0.04,32,K,1.08,"[0.36, 0.623538291, 0.0]",b7846ce8417de6df4e838178a784ad004aca4348842cb4fa0412fd257a2eedb2,8572,0.0,1.1582187491854732e-06,0.0,6.337243803500314e-06,1100016.9888093667
B,0.08,32,G,0.0,"[0.0, 0.0, 0.0]",9d8dcf9bfb77b2379941b01892c84f6f6fb2f9d83755a9b74d0a22260beef857,2927,0.0,8.299999999517027e-07,0.0,0.00017760517084752792,1100016.7313717045
B,0.08,32,G,0.015,"[0.005, 0.008660254, 0.0]",72418c1e75a4167432ac47dec86ee9f11f873954aa110fea20ebf508c1a4fb6e,8572,0.0,1.5392938675946772e-06,0.0,2.6083212802063827e-05,1100016.991439302
B,0.08,32,G,0.03,"[0.01, 0.017320508, 0.0]",19e1827ba215b3643a58a9164651da73cc273ff0fc5c6d442fb94db5180efca2,8572,0.0,9.343769998837459e-07,0.0,3.181098996662968e-05,1100016.989000528
B,0.08,32,G,0.05,"[0.016666667, 0.028867513, 0.0]",54096335e4cd7bc69d19d1f6fb6491d4ffa5039e0ba220fd7f214969bc6b8713,8572,0.0,1.6321700000432315e-06,0.0,2.310660239857043e-05,1100016.9873979958
B,0.08,32,G,0.08,"[0.026666667, 0.046188022, 0.0]",32c8c32ae8c808c0cc156ed92aa2bbff13559967884a25d115610a935fa616aa,8572,0.0,1.05790400000208e-06,0.0,1.0038887751306902e-05,1100016.9847881943
B,0.08,32,K,0.92,"[0.306666667, 0.531162248, 0.0]",a2e9791d7dc7f1ccd8508801bdd31fec98617adcb02d8686fce58b83fde9ec6b,8572,0.0,7.384010001221242e-07,0.0,4.878047207057534e-06,1100016.988979566
B,0.08,32,K,0.95,"[0.316666667, 0.548482756, 0.0]",39b65cf1946707f048b32d76b5d42c97c107d9c34edebad00967b11bece64f41,8572,0.0,1.1265054684302274e-06,0.0,8.902041543024097e-06,1100016.9908892696
B,0.08,32,K,0.97,"[0.323333333, 0.560029761, 0.0]",44e71aacef64a711dbe7718371cf7f5a3223743ff705bab2550dd4cd060943ac,8572,0.0,9.061669445025479e-07,0.0,7.4214436267538986e-06,1100016.9879965775
B,0.08,32,K,0.985,"[0.328333333, 0.568690015, 0.0]",8b11be278f247cc2caf6838e6cc9001e57b3428bf8ace8ef528fc108c0195a1b,8572,0.0,8.491609999605743e-07,0.0,3.2099842428578995e-06,1100016.9851795698
B,0.08,32,K,1.0,"[0.333333333, 0.577350269, 0.0]",eab8dbbb0e0923b5b64c7404f9f5c429fc47b8b444f2918bce9670a29871d4ab,4056,0.0,6.188980001819999e-07,0.0,5.148743298377667e-06,1100016.9868397322
B,0.08,32,K,1.015,"[0.338333333, 0.586010523, 0.0]",ce758902a20a8da41ece1c0cbb5ac50fd16a01887e0826f7cd91dbafa5d427fb,8572,0.0,1.1488680000670826e-06,0.0,5.864196054972126e-06,1100016.991716161
B,0.08,32,K,1.03,"[0.343333333, 0.594670777, 0.0]",50dd76b89ded82b9cbb2a7738e31abd16fb7f574f4952829ff945b0b7c9b2384,8572,0.0,8.856186275957089e-07,0.0,6.079968954963988e-06,1100016.985003032
B,0.08,32,K,1.05,"[0.35, 0.606217783, 0.0]",dca0c238584b6be025a056f451cb8313843996fc0619e6732656d80a05833862,8572,0.0,9.679668490773174e-07,0.0,4.351755478637642e-06,1100016.9943847125
B,0.08,32,K,1.08,"[0.36, 0.623538291, 0.0]",559195e953d27ecdc33590832d8a4ae6e168426b4d36df2844bbf12e9a39283f,8572,0.0,1.1920489840776263e-06,0.0,1.0959310770886077e-05,1100016.9877964633
