region,degauss_Ry,uncorrected_MAE_cm-1,corrected_development_MAE_cm-1,max_abs_error_cm-1
G,0.01,2.8600462811881244,0.11579921838947485,0.17497355292266548
G,0.02,1.3894859639176047,0.031480045319813146,0.05752499642107978
G,0.04,11.141302910203013,0.010680051474264474,0.01881069090291021
G,0.06,2.715172637181695,0.001875231804615396,0.002936618060402907
G,0.08,2.8973702609222074,0.004316600268793991,0.010399762493761955
K,0.01,30.19561550176109,0.6300881948092815,1.9950517768991176
K,0.02,25.144220278880994,0.3216112645321421,1.055690746963819
K,0.04,0.6858379680244929,0.06486352206462066,0.21366631308751494
K,0.06,3.925996590239821,0.015036423926327794,0.03418544419878344
K,0.08,5.231855601492246,0.6957700301055765,1.6411032292178334
