degauss_Ry,gamma_acoustic_base_max_abs_cm-1,gamma_acoustic_corrected_max_abs_cm-1,gamma_acoustic_change_max_abs_cm-1,gamma_e2g_base_splitting_cm-1,gamma_e2g_corrected_splitting_cm-1,time_reversal_gamma_matrix_max_abs,time_reversal_K_matrix_max_abs,gamma_star_all_branch_spread_cm-1,K_star_all_branch_spread_cm-1,corrected_hermitian_max_abs
0.013,0.5477774217880013,0.5477774216201637,5.041241868397606e-10,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0,2.169819879327406e-11,6.821210263296962e-13,4.670387481506212e-18
0.027,0.5477774210624733,0.547777421018574,1.2735518195583495e-10,2.2737367544323206e-13,0.0,0.0,0.0,1.4198420217326202e-11,3.410605131648481e-13,1.8890374239361914e-18
0.055,0.5477774201358812,0.5477774205419298,8.644624183151706e-10,2.2737367544323206e-13,2.2737367544323206e-13,0.0,0.0,6.757261417078553e-12,5.115907697472721e-13,6.938893903907228e-18
