key,trajectory_seed,snapshot_index,atom,axis,displacement_A,displacement_norm_A,reference_force_eV_A,short_force_eV_A,long_force_eV_A,total_force_eV_A,short_only_error_meV_A,total_error_meV_A,reference_force_norm_eV_A,long_force_norm_eV_A
seed0:snapshot003,0,3,0,x,-0.020309020000000004,0.23173762895489555,0.59096112,0.4998712723589482,0.06175049374373608,0.5616217661026842,-91.08984764105182,-29.33935389731579,2.76807665920134,0.08605110873411635
seed0:snapshot003,0,3,0,y,-0.01939019,0.23173762895489555,2.57076043,2.5455730088377297,-0.043455347238068445,2.5021176615996614,-25.18742116227024,-68.64276840033855,2.76807665920134,0.08605110873411635
seed0:snapshot003,0,3,0,z,0.23003020000000074,0.23173762895489555,-0.83916873,-0.7738066649095572,-0.04127108713366325,-0.8150777520432204,65.36206509044284,24.090977956779614,2.76807665920134,0.08605110873411635
seed0:snapshot003,0,3,1,x,-0.049768880000000244,0.2788618532678915,0.19538456,0.2719214711682701,-0.049367355841835645,0.22255411532643443,76.53691116827008,27.16955532643442,1.69023619048934,0.05292880368245351
seed0:snapshot003,0,3,1,y,0.01619341,0.2788618532678915,-1.66889432,-1.5667679770072778,-0.01753910182894727,-1.584307078836225,102.12634299272216,84.58724116377492,1.69023619048934,0.05292880368245351
seed0:snapshot003,0,3,1,z,0.2739064900000008,0.2788618532678915,0.18307103,0.174461017712636,-0.007530095847670101,0.1669309218649659,-8.610012287363993,-16.140108135034108,1.69023619048934,0.05292880368245351
seed0:snapshot003,0,3,2,x,-0.04605488000000069,0.13306847490784154,0.42248033,0.3460044707490454,0.03058245027280792,0.3765869210218533,-76.47585925095463,-45.8934089781467,1.8475561590690481,0.06594419279071168
seed0:snapshot003,0,3,2,y,-0.04254704,0.13306847490784154,1.65505047,1.5336286648679172,0.056579894136038575,1.5902085590039556,-121.42180513208278,-64.8419109960443,1.8475561590690481,0.06594419279071168
seed0:snapshot003,0,3,2,z,0.11737085000000125,0.13306847490784154,0.70411794,0.6498257743407365,0.014562481851815265,0.6643882561925518,-54.29216565926354,-39.72968380744823,1.8475561590690481,0.06594419279071168
seed0:snapshot003,0,3,3,x,-0.007056369999999036,0.011196834526801657,-2.18678032,-2.0328451804124517,-0.010193104909925641,-2.0430382853223774,153.93513958754835,143.7420346776226,2.7988634655282727,0.0618736568137747
seed0:snapshot003,0,3,3,y,0.00436466,0.011196834526801657,0.91475377,0.7630404315743812,-0.03859217856000846,0.7244482530143728,-151.71333842561884,-190.30551698562726,2.7988634655282727,0.0618736568137747
seed0:snapshot003,0,3,3,z,-0.00751840999999942,0.011196834526801657,1.48823858,1.4082842315947188,0.047276778377935626,1.4555610099726544,-79.95434840528115,-32.67757002734562,2.7988634655282727,0.0618736568137747
seed0:snapshot003,0,3,4,x,-0.005796130000002008,0.060423829102183045,-1.32753281,-1.1530665543035965,-0.08238468117782322,-1.2354512354814198,174.46625569640338,92.08157451858013,1.6870421872453605,0.09294100043526692
seed0:snapshot003,0,3,4,y,-0.021127789999999997,0.060423829102183045,1.02629362,0.9295130801172272,0.04291234593873314,0.9724254260559604,-96.78053988277269,-53.86819394403952,1.6870421872453605,0.09294100043526692
seed0:snapshot003,0,3,4,z,-0.05631216999999911,0.060423829102183045,0.1746121,0.1620014907598005,0.003053593812411906,0.1650550845722124,-12.610609240199494,-9.557015427787585,1.6870421872453605,0.09294100043526692
seed0:snapshot003,0,3,5,x,-0.009342200000000744,0.024496583863276675,1.63826657,1.5804540359977877,0.05294711472135774,1.6334011507191455,-57.81253400221242,-4.865419280854599,2.021009483887057,0.08862096662738717
seed0:snapshot003,0,3,5,y,-0.00190723,0.024496583863276675,-0.39222719,-0.5055363794140172,0.05972635798531915,-0.445810021428698,-113.30918941401718,-53.58283142869802,2.021009483887057,0.08862096662738717
seed0:snapshot003,0,3,5,z,0.02256476000000074,0.024496583863276675,-1.11656608,-1.0714233954580574,-0.03851027045432628,-1.1099336659123837,45.14268454194248,6.6324140876161675,2.021009483887057,0.08862096662738717
seed0:snapshot003,0,3,6,x,-0.023163030000000084,0.17447814533210615,0.99416692,1.022798337789001,-0.045511870581437686,0.9772864672075634,28.631417789001134,-16.88045279243655,3.6694842434895634,0.09525640725130723
seed0:snapshot003,0,3,6,y,-0.039582513309718514,0.17447814533210615,3.05302328,2.9641000671715796,0.04529882676343475,3.0093988939350145,-88.92321282842053,-43.62438606498564,3.6694842434895634,0.09525640725130723
seed0:snapshot003,0,3,6,z,-0.16834286999999915,0.17447814533210615,1.77645591,1.690173501123353,0.07035956972908299,1.760533070852436,-86.28240887664695,-15.922839147563872,3.6694842434895634,0.09525640725130723
seed0:snapshot003,0,3,7,x,-0.02385900000000074,0.10433674856681618,0.31421426,0.2545855306110907,0.03889243225932157,0.2934779628704123,-59.62872938890934,-20.736297129587744,1.3758395286402787,0.052796438954915446
seed0:snapshot003,0,3,7,y,-0.007854253309718562,0.10433674856681618,-0.49711688,-0.486694776026353,0.022011150758316077,-0.46468362526803697,10.422103973646957,32.43325473196301,1.3758395286402787,0.052796438954915446
seed0:snapshot003,0,3,7,z,0.10126804000000078,0.10433674856681618,1.24381615,1.179372826214012,0.028113198351821824,1.2074860245658339,-64.44332378598804,-36.330125434166135,1.3758395286402787,0.052796438954915446
seed0:snapshot003,0,3,8,x,-0.05035514000000108,0.18556137934330766,0.40987292,0.3895647021801811,0.010916717923503893,0.400481420103685,-20.308217819818896,-9.391499896314992,0.6836571929828288,0.08438467123341187
seed0:snapshot003,0,3,8,y,-0.024242893309718738,0.18556137934330766,0.09159504,0.2121251196468058,-0.0822669207226828,0.129858198924123,120.5300796468058,38.263158924123005,0.6836571929828288,0.08438467123341187
seed0:snapshot003,0,3,8,z,0.17694538000000115,0.18556137934330766,0.53944573,0.5315250078958842,0.015288942532349397,0.5468139504282336,-7.920722104115763,7.368220428233596,0.6836571929828288,0.08438467123341187
seed0:snapshot003,0,3,9,x,-0.06744002999999933,0.23272256620083,3.30654074,3.0674754257386745,-0.031955068367502074,3.035520357371172,-239.06531426132548,-271.02038262882775,4.083038481710344,0.05155955143138625
seed0:snapshot003,0,3,9,y,-0.021525723309718803,0.23272256620083,-2.36489143,-2.1647998365746006,-0.04016027843876223,-2.2049601150133626,200.0915934253995,159.9313149866375,4.083038481710344,0.05155955143138625
seed0:snapshot003,0,3,9,z,0.2216941100000005,0.23272256620083,0.38115627,0.3825915145637988,-0.004940949823173854,0.37765056474062497,1.4352445637987876,-3.505705259375047,4.083038481710344,0.05155955143138625
seed0:snapshot003,0,3,10,x,-0.06575752000000179,0.1830803290102283,0.97361815,0.9289094950123082,0.049185709218297874,0.9780952042306061,-44.70865498769172,4.477054230606181,1.8543631328283747,0.05693791645754923
seed0:snapshot003,0,3,10,y,0.037148546690281226,0.1830803290102283,-1.50567504,-1.5871132138886201,0.02830187512878023,-1.55881133875984,-81.43817388862007,-53.13629875983983,1.8543631328283747,0.05693791645754923
seed0:snapshot003,0,3,10,z,0.1667763200000012,0.1830803290102283,0.4729408,0.48078021324466014,0.004657918356394187,0.4854381316010543,7.839413244660143,12.497331601054318,1.8543631328283747,0.05693791645754923
seed0:snapshot003,0,3,11,x,-0.03843342000000051,0.06816533802085907,0.15014523,0.15825548615854235,0.011638863981654955,0.1698943501401973,8.110256158542356,19.749120140197306,3.787599541749296,0.015844057342631168
seed0:snapshot003,0,3,11,y,-0.04600004330971874,0.06816533802085907,3.77774681,3.6186856763024657,0.008589632351149143,3.6272753086536147,-159.06113369753427,-150.4715013463853,3.787599541749296,0.015844057342631168
seed0:snapshot003,0,3,11,z,-0.032455839999999014,0.06816533802085907,0.22802574,0.17295869920904566,0.006464457778128929,0.1794231569871746,-55.067040790954344,-48.60258301282541,3.787599541749296,0.015844057342631168
seed0:snapshot003,0,3,12,x,0.006880869999999818,0.0266730218677308,-1.23746501,-1.2683063532316157,-0.0034516802815022945,-1.271758033513118,-30.841343231615692,-34.29302351311803,1.3797740830959033,0.04914166731795719
seed0:snapshot003,0,3,12,y,0.003482053380563066,0.0266730218677308,-0.25304103,-0.2778917849638289,0.04352084946414833,-0.23437093549968055,-24.85075496382888,18.67009450031945,1.3797740830959033,0.04914166731795719
seed0:snapshot003,0,3,12,z,0.02553388000000112,0.0266730218677308,-0.55536214,-0.5117352947045882,-0.0225593668338012,-0.5342946615383894,43.62684529541172,21.0674784616105,1.3797740830959033,0.04914166731795719
seed0:snapshot003,0,3,13,x,0.03204576999999946,0.03960846027025489,-0.75787868,-0.7713472043898556,0.013249689095069137,-0.7580975152947864,-13.468524389855574,-0.2188352947863903,1.5164874698583921,0.06492120215318009
seed0:snapshot003,0,3,13,y,0.009696513380562877,0.03960846027025489,-1.0567036,-1.0083146063501094,-0.0578250303245351,-1.0661396366746445,48.388993649890686,-9.436036674644432,1.5164874698583921,0.06492120215318009
seed0:snapshot003,0,3,13,z,-0.021163089999999052,0.03960846027025489,-0.78021257,-0.7447447079280244,-0.026371842860609465,-0.7711165507886338,35.46786207197561,9.096019211366158,1.5164874698583921,0.06492120215318009
seed0:snapshot003,0,3,14,x,-0.0031844200000010767,0.03131046265744256,0.7032813,0.7387746267184802,-0.047866823870791136,0.690907802847689,35.493326718480155,-12.373497152310954,0.7128767460916582,0.05159861538422701
seed0:snapshot003,0,3,14,y,-0.010658926619437457,0.03131046265744256,0.06419787,0.0829992179548972,-0.0190987421325747,0.0639004758223225,18.8013479548972,-0.2973941776775041,0.7128767460916582,0.05159861538422701
seed0:snapshot003,0,3,14,z,0.029267590000000787,0.03131046265744256,-0.09730006,-0.10347073648754679,-0.0025342318452470517,-0.10600496833279384,-6.170676487546794,-8.704908332793845,0.7128767460916582,0.05159861538422701
seed0:snapshot003,0,3,15,x,0.023699320000000412,0.10019685375513088,-0.13749694,-0.21129142596292658,0.030070913888540877,-0.1812205120743857,-73.79448596292656,-43.72357207438568,1.2856212134916347,0.0522452081811262
seed0:snapshot003,0,3,15,y,-0.06199077661943697,0.10019685375513088,0.68708978,0.6351781719981422,0.034442828562099195,0.6696210005602414,-51.911608001857786,-17.468779439758553,1.2856212134916347,0.0522452081811262
seed0:snapshot003,0,3,15,z,0.07506594000000089,0.10019685375513088,-1.07787946,-1.0300326508907136,-0.025278320285157783,-1.0553109711758715,47.84680910928629,22.56848882412843,1.2856212134916347,0.0522452081811262
seed0:snapshot003,0,3,16,x,0.005967449999997321,0.029765654813712523,0.75779872,0.6689587857584745,0.05319341358339152,0.7221521993418659,-88.83993424152558,-35.646520658134115,1.3423501686730932,0.08525100832841842
seed0:snapshot003,0,3,16,y,0.029009153380562758,0.029765654813712523,-0.85545204,-0.7293837110312635,-0.0626217753583936,-0.7920054863896572,126.06832896873644,63.44655361034279,1.3423501686730932,0.08525100832841842
seed0:snapshot003,0,3,16,z,0.0029753600000006486,0.029765654813712523,0.70416396,0.6533224639756585,0.022731221333690214,0.6760536853093487,-50.84149602434152,-28.110274690651305,1.3423501686730932,0.08525100832841842
seed0:snapshot003,0,3,17,x,-0.005078070000001491,0.15062636332570017,1.06584387,1.0714623663244267,-0.05150915679493171,1.019953209529495,5.618496324426792,-45.89066047050494,1.61710327352725,0.05709399133662249
seed0:snapshot003,0,3,17,y,0.05117536338056272,0.15062636332570017,-1.12740945,-1.1128374887000683,0.004222413641805151,-1.108615075058263,14.571961299931768,18.79437494173697,1.61710327352725,0.05709399133662249
