stage,lane,kgrid,qe_tag,integration,label,direction,delta_equal_distance,role,q_reduced_h,q_reduced_k,qx_2pia,qy_2pia,f1_cm-1,f2_cm-1,f3_cm-1,f4_cm-1,f5_cm-1,f6_cm-1
convergence,B,240,qe75_npk120k,tetrahedra_opt_no_degauss,K,K,0.0,kgrid_cross_host,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5773502691896258,544.263996,544.263997,1005.030557,1227.914678,1227.914679,1281.753275
convergence,B,240,qe75_npk120k,tetrahedra_opt_no_degauss,KM_d007,KM,0.007,kgrid,0.3356666666666666,0.32866666666666666,0.3356666666666666,0.5733088173052984,541.003224,547.287029,1004.820955,1224.970731,1230.837283,1289.355387
