direction,distance_from_K,q_invA,electron_eV,hole_eV,electron_hole_mean_eV
KG,0.0,0.0,4.040024351281701e-06,4.040024351503746e-06,4.040024351392724e-06
KG,0.0005,0.0008513801193671829,0.004640765865906227,0.004640144187167294,0.0046404550265367606
KG,0.001,0.0017027602387343658,0.009289135714927177,0.009286587586238237,0.009287861650582707
KG,0.0015,0.0025541403581015487,0.013942242682080774,0.013936457216023213,0.013939349949051993
KG,0.002,0.003405520477469015,0.018600083128315736,0.01858974341337749,0.018594913270846614
KG,0.0025,0.004256900596836198,0.023262653532013955,0.023246436723628028,0.02325454512782099
KG,0.003,0.005108280716203665,0.02792995034370227,0.027906527754213206,0.027918239048957738
KG,0.0035,0.005959660835570846,0.032601969965842414,0.03257000715328462,0.03258598855956352
KG,0.004,0.00681104095493803,0.03727870874824468,0.03723686560403472,0.0372577871761397
KG,0.0045000000000000005,0.007662421074305212,0.04196016298696503,0.04190709382243907,0.04193362840470205
KG,0.005,0.008513801193672678,0.04664632892425913,0.04658068255602266,0.04661350574014089
KG,0.0055,0.009365181313039862,0.051337202748908295,0.05125762258304034,0.05129741266597432
KG,0.006,0.01021656143240733,0.05603278059672667,0.05593790471179427,0.05598534265426047
KG,0.006500000000000001,0.011067941551774511,0.060733058551152075,0.06062151978002017,0.060677289165586124
KG,0.007,0.011919321671141693,0.06543803264387393,0.06530845865430579,0.06537324564908986
KG,0.0075,0.012770701790508878,0.07014769885549232,0.06999871222955689,0.07007320554252461
KG,0.008,0.013622081909876346,0.07486205311620253,0.07469227142841306,0.0747771622723078
KG,0.0085,0.014473462029243525,0.07958109130647117,0.07938912720072766,0.07948510925359942
KG,0.009000000000000001,0.015324842148610993,0.08430480925776651,0.08408927052303228,0.0841970398903994
KG,0.0095,0.016176222267978175,0.08903320275324811,0.0887926923979685,0.0889129475756083
KG,0.01,0.017027602387345356,0.09376626752852113,0.09349938385378587,0.0936328256911535
KG,0.0105,0.01787898250671254,0.09850399927235354,0.09820933594377768,0.0983566676080656
KG,0.011,0.018730362626080008,0.10324639362741905,0.10292253974576027,0.10308446668658966
KG,0.0115,0.01958174274544719,0.10799344619104301,0.10763898636151614,0.10781621627627958
KG,0.012,0.02043312286481466,0.11274515251597927,0.11235866691628638,0.11255190971613283
KG,0.0125,0.02128450298418184,0.1175015081111499,0.11708157255820528,0.11729154033467759
KG,0.013000000000000001,0.022135883103549022,0.12226250844243736,0.1218076944577886,0.12203510145011298
KG,0.0135,0.022987263222916204,0.12702814893344905,0.12653702380738596,0.1267825863704175
KG,0.014,0.02383864334228367,0.13179842496630667,0.1312695518206528,0.13153398839347974
KG,0.0145,0.024690023461650855,0.13657333188242937,0.13600526973200977,0.13628930080721957
KG,0.015,0.02554140358101832,0.14135286498333244,0.14074416879612728,0.14104851688972986
KG,0.0155,0.026392783700385506,0.14613701953144598,0.1454862402873749,0.14581162990941043
KG,0.016,0.02724416381975269,0.1509257907508852,0.15023147549932192,0.15057863312510356
KG,0.0165,0.02809554393911987,0.15571917382828726,0.154979865744179,0.15534951978623313
KG,0.017,0.02894692405848734,0.16051716391362647,0.15973140235229666,0.16012428313296156
KG,0.0175,0.02979830417785452,0.16531975612102756,0.16448607667162518,0.16490291639632637
KG,0.018000000000000002,0.030649684297221987,0.17012694552957974,0.1692438800672138,0.16968541279839677
KG,0.0185,0.03150106441658917,0.17493872718419334,0.17400480392068318,0.17447176555243826
KG,0.019,0.03235244453595635,0.1797550960964116,0.17876883962969536,0.17926196786305348
KG,0.0195,0.03320382465532353,0.18457604724525267,0.18353597860747417,0.18405601292636342
KG,0.02,0.034055204774691,0.1894015755780496,0.1883062122822614,0.1888538939301555
KG,0.0205,0.034906584894058186,0.19423167601129276,0.19307953209683437,0.19365560405406357
KG,0.021,0.035757965013425645,0.1990663434314741,0.19785592950798492,0.19846113646972952
KG,0.021500000000000002,0.036609345132792834,0.20390557269593823,0.2026353959860372,0.2032704843409877
KG,0.022,0.037460725252160015,0.20874935863374122,0.20741792301432493,0.20808364082403308
KG,0.0225,0.0383121053715272,0.21359769604648893,0.21220350208873118,0.21290059906761005
KG,0.023,0.03916348549089466,0.21845057970920156,0.21699212471716933,0.21772135221318545
KG,0.0235,0.040014865610261845,0.22330800437116882,0.22178378241910446,0.22254589339513664
KG,0.024,0.04086624572962932,0.2281699647568154,0.22657846672509319,0.2273742157409543
KG,0.0245,0.04171762584899649,0.2330364555665494,0.23137616917626325,0.23220631237140632
KG,0.025,0.04256900596836368,0.23790747147763525,0.23617688132388648,0.23704217640076086
