sscha_index,historical_selection_group,corrected_X0_support_level,mean_5NN_distance,corrected_leave_one_out_percentile_rank,RMS_displacement_A,max_displacement_A,inplane_RMS_displacement_A,outplane_RMS_displacement_A,Aprime_coordinate_abs_A,minimum_pair_distance_A
94,typical,corrected_X0_core,0.7189924035397872,60.0,0.08720048620510358,0.3386291906042652,0.04480987224099665,0.13709823150832579,0.02715572325241866,1.3281742144562902
65,typical,corrected_X0_core,0.761273120899906,67.0,0.0967891515300551,0.3528728530360337,0.045232209833749835,0.1549597171810634,0.03083162884044018,1.296308069719481
87,typical,corrected_X0_core,0.8389505501702921,75.0,0.10612673364389773,0.5198977585678808,0.042094559087335566,0.17391016926061012,0.04172208024499811,1.304118562534494
272,typical,corrected_X0_core,1.3451209140213058,92.66666666666666,0.08283148212813288,0.2903510529644802,0.053803482429435195,0.12162867199620535,0.03960957908739998,1.3243803896935384
168,high_committee_disagreement,outside_corrected_X0_support,1.7753006745498605,99.0,0.0701594527570206,0.30867314219118963,0.04636885762071801,0.10230789079730349,0.048632356760277176,1.2271489035316339
277,high_committee_disagreement,outside_corrected_X0_support,2.1606025481199485,100.0,0.07690563589615285,0.2971835525576101,0.051316750768072406,0.11169875862779309,0.09467728765694775,1.297881828356152
216,high_committee_disagreement,corrected_X0_core,1.3366206291142544,92.66666666666666,0.11176821156178315,0.5897189129824432,0.047646343557534894,0.1814829227182361,0.02614111912521915,1.2890980976895734
99,high_committee_disagreement,corrected_X0_core,1.0579433804452918,89.0,0.06572666218859505,0.238077185466091,0.0414466094214283,0.09759272258880891,0.061926361956732685,1.2704604035168754
152,low_Aprime_amplitude,outside_corrected_X0_support,1.8295050076081012,99.66666666666667,0.05877727465992336,0.20412204801969647,0.03148330602967348,0.09155275491337253,0.00738557609327106,1.3059393186170023
20,low_Aprime_amplitude,corrected_X0_core,0.7777543397707263,68.66666666666667,0.06889117717787609,0.2945340155847738,0.039451517173937835,0.10547577192990588,0.01038102187210388,1.2994879373050297
6,high_Aprime_amplitude,corrected_X0_edge,1.6534942252473734,98.66666666666667,0.1281598276493998,0.5163521315722411,0.04563592881753073,0.21239008515298946,0.0857097222134121,1.31106449947521
203,high_Aprime_amplitude,corrected_X0_core,1.0820452860791405,90.0,0.07541871436983279,0.2560156439290744,0.04197742347430624,0.11636038530579379,0.07364482557423918,1.3152688232750522
